PGFRA STAT1
KLHL3 SQSTM
GRIA1 SQSTM
XRCC3 BRCA2
M3K8 MP2K4
FLNA BRCA2
STAT3 P85B
STAT3 TWST1
STAT3 EP300
STAT3 CBL
STAT3 MYOD1
STAT3 MK01
JAK1 STAT1
GRP78 SQSTM
MLP3C SQSTM
BUB1B BRCA2
FBXL4 SKP1
HDAC5 MEF2D
IRF1 STAT1
MCPH1 BRCA2
KS6B1 SQSTM
KS6B1 STAT1
HSP74 SQSTM
KPCI SQSTM
FUS SQSTM
MP2K4 MK01
SMC3 BRCA2
STAT1 IKBA
STAT1 FOS
STAT1 EP300
STAT1 FANCE
STAT1 STAT2
INSR SQSTM
FANCE BRCA2
PCNA BRCA2
DVL2 SQSTM
ITAV TSP1
ITAV MK01
EP300 MEF2D
SKP1 IKBA
SKP1 FBX5
BCCIP BRCA2
BCCIP GRWD1
ISG15 SQSTM
BRCA2 FANCG
BRCA2 BRCC3
BRCA2 ERCC5
BRCA2 KAT2B
TRAF6 SQSTM
GBRAP SQSTM
ULK2 SQSTM
MTOR SQSTM
SQSTM UBC
SQSTM MK01
