,SYMBOL_A,UNIPROT_AC_A,INTERACTION_TYPE,SYMBOL_B,UNIPROT_AC_B,SOURCE
5075,AURKC,Q9UQB9,,BUB1B,O60566,STRING
5076,AURKC,Q9UQB9,,CCNB2,O95067,STRING
5077,AURKC,Q9UQB9,,PTPDC1,A2A3K4,STRING
5078,AURKC,Q9UQB9,,KLHL10,Q6JEL2,STRING
5079,AURKC,Q9UQB9,,RFC4,P35249,STRING
5080,AURKC,Q9UQB9,,MAD2L1,Q13257,STRING
5081,AURKC,Q9UQB9,,RAD21,O60216,STRING
5082,AURKC,Q9UQB9,,KIF27,Q86VH2,STRING
5083,AURKC,Q9UQB9,,PLK1,P53350,STRING
5084,AURKC,Q9UQB9,,MAPRE2,Q15555,STRING
5085,AURKC,Q9UQB9,,TPX2,Q9ULW0,STRING
5086,AURKC,Q9UQB9,,RRM1,P23921,STRING
5087,AURKC,Q9UQB9,,TUBA1A,Q71U36,STRING
5088,AURKC,Q9UQB9,,TUBA1C,Q9BQE3,STRING
5089,AURKC,Q9UQB9,,KIFC2,Q96AC6,STRING
5090,AURKC,Q9UQB9,,BIRC5,O15392,STRING
5091,AURKC,Q9UQB9,,BUB1,O43683,STRING
5092,MCM7,P33993,,AURKC,Q9UQB9,STRING
5094,CDC20,Q12834,,AURKC,Q9UQB9,STRING
5095,REC8,O95072,,AURKC,Q9UQB9,STRING
5098,RACGAP1,Q9H0H5,,TUBA4A,P68366,STRING
5099,RACGAP1,Q9H0H5,,AURKC,Q9UQB9,STRING
5100,CKS1B,P61024,,AURKC,Q9UQB9,STRING
5101,CCNG2,Q16589,,AURKC,Q9UQB9,STRING
5102,CDCA8,Q53HL2,,AURKC,Q9UQB9,STRING
5103,TUBA3E,Q6PEY2,,TUBA4A,P68366,STRING
5104,TUBA3E,Q6PEY2,,AURKC,Q9UQB9,STRING
5105,TUBB6,Q9BUF5,,TUBA4A,P68366,STRING
5106,TUBB6,Q9BUF5,,AURKC,Q9UQB9,STRING
5109,TUBD1,Q9UJT1,,TUBA4A,P68366,STRING
5110,TUBD1,Q9UJT1,,AURKC,Q9UQB9,STRING
5111,TACC1,O75410,,AURKC,Q9UQB9,STRING
5112,KIF15,Q9NS87,,AURKC,Q9UQB9,STRING
5113,NCAPD2,Q15021,,AURKC,Q9UQB9,STRING
5115,TUBA3D,Q13748,,AURKC,Q9UQB9,STRING
5116,TACC3,Q9Y6A5,,AURKC,Q9UQB9,STRING
5117,KIF21B,O75037,,AURKC,Q9UQB9,STRING
5118,TUBB8,Q3ZCM7,,TUBA4A,P68366,STRING
5122,HIST2H3D,Q71DI3,,TUBA4A,P68366,STRING
5123,HIST2H3D,Q71DI3,,AURKC,Q9UQB9,STRING
5124,TUBA8,Q9NY65,,TUBA4A,P68366,STRING
5125,TUBA8,Q9NY65,,AURKC,Q9UQB9,STRING
5126,UBL4B,Q8N7F7,,TUBA4A,P68366,STRING
5127,UBL4B,Q8N7F7,,AURKC,Q9UQB9,STRING
5128,TACC2,O95359,,AURKC,Q9UQB9,STRING
5129,CDKN3,Q16667,,AURKC,Q9UQB9,STRING
5130,TUBA1B,P68363,,TUBA4A,P68366,STRING
5131,TUBA1B,P68363,,AURKC,Q9UQB9,STRING
5132,CENPA,P49450,,TUBA4A,P68366,STRING
5134,ZBTB16,Q05516,,AURKC,Q9UQB9,STRING
5135,TUBB,P07437,,TUBA4A,P68366,STRING
5136,TUBB,P07437,,AURKC,Q9UQB9,STRING
5137,H3F3C,Q6NXT2,,TUBA4A,P68366,STRING
5138,H3F3C,Q6NXT2,,AURKC,Q9UQB9,STRING
5140,TUBB4B,P68371,,AURKC,Q9UQB9,STRING
5141,SMC4,Q9NTJ3,,AURKC,Q9UQB9,STRING
5142,KIF18B,Q86Y91,,TUBA4A,P68366,STRING
5143,KIF18B,Q86Y91,,AURKC,Q9UQB9,STRING
5145,CCNG1,P51959,,AURKC,Q9UQB9,STRING
5147,KIF25,Q9UIL4,,TUBA4A,P68366,STRING
5148,KIF25,Q9UIL4,,AURKC,Q9UQB9,STRING
5149,XIAP,P98170,,AURKC,Q9UQB9,STRING
5150,UBE2C,O00762,,AURKC,Q9UQB9,STRING
5151,SMC1B,Q8NDV3,,AURKC,Q9UQB9,STRING
5154,PRIM1,P49642,,AURKC,Q9UQB9,STRING
5159,RRM2,P31350,,AURKC,Q9UQB9,STRING
5160,SMC3,Q9UQE7,,AURKC,Q9UQB9,STRING
5161,KIF21A,Q7Z4S6,,AURKC,Q9UQB9,STRING
5162,CDC14A,Q9UNH5,,AURKC,Q9UQB9,STRING
5163,HIST3H3,Q16695,,TUBA4A,P68366,STRING
5164,HIST3H3,Q16695,,AURKC,Q9UQB9,STRING
5167,NEK7,Q8TDX7,,AURKC,Q9UQB9,STRING
5168,DUSP23,Q9BVJ7,,AURKC,Q9UQB9,STRING
5169,TUBE1,Q9UJT0,,TUBA4A,P68366,STRING
5170,TUBE1,Q9UJT0,,AURKC,Q9UQB9,STRING
5171,BUB3,O43684,,TUBA4A,P68366,STRING
5172,BUB3,O43684,,AURKC,Q9UQB9,STRING
5177,TTK,P33981,,AURKC,Q9UQB9,STRING
5178,SPO11,Q9Y5K1,,AURKC,Q9UQB9,STRING
5179,PLK3,Q9H4B4,,TUBA4A,P68366,STRING
5180,PLK3,Q9H4B4,,AURKC,Q9UQB9,STRING
5181,KIF2C,Q99661,,TUBA4A,P68366,STRING
5182,KIF2C,Q99661,,AURKC,Q9UQB9,STRING
5183,NEK6,Q9HC98,,AURKC,Q9UQB9,STRING
5184,KIF4A,O95239,,AURKC,Q9UQB9,STRING
5185,CDC14B,O60729,,AURKC,Q9UQB9,STRING
5186,MAPRE1,Q15691,,TUBA4A,P68366,STRING
5187,MAPRE1,Q15691,,AURKC,Q9UQB9,STRING
5188,CKS2,P33552,,AURKC,Q9UQB9,STRING
5191,CCNI2,Q6ZMN8,,AURKC,Q9UQB9,STRING
5192,PCNA,P12004,,AURKC,Q9UQB9,STRING
5193,KIFC3,Q9BVG8,,TUBA4A,P68366,STRING
5194,KIFC3,Q9BVG8,,AURKC,Q9UQB9,STRING
5195,RFC3,P40938,,AURKC,Q9UQB9,STRING
5197,TUBB2A,Q13885,,AURKC,Q9UQB9,STRING
5198,TUBAL3,A6NHL2,,TUBA4A,P68366,STRING
5199,TUBAL3,A6NHL2,,AURKC,Q9UQB9,STRING
5200,DUT,P33316,,AURKC,Q9UQB9,STRING
5201,THUMPD1,Q9NXG2,,AURKC,Q9UQB9,STRING
5202,CDC20B,Q86Y33,,AURKC,Q9UQB9,STRING
5203,KIF19,Q2TAC6,,TUBA4A,P68366,STRING
5204,KIF19,Q2TAC6,,AURKC,Q9UQB9,STRING
5205,CD79B,P40259,,AURKC,Q9UQB9,STRING
5206,PRC1,O43663,,TUBA4A,P68366,STRING
5207,PRC1,O43663,,AURKC,Q9UQB9,STRING
5208,KIF7,Q2M1P5,,AURKC,Q9UQB9,STRING
5210,KIF20A,O95235,,AURKC,Q9UQB9,STRING
5211,FZR1,Q9UM11,,AURKC,Q9UQB9,STRING
5212,CDK1,P06493,,KIF22,Q14807,STRING
5213,CDK1,P06493,,CDC6,Q99741,STRING
5214,CDK1,P06493,,MCM5,P33992,STRING
5215,CDK1,P06493,,AURKA,O14965,STRING
5216,CDK1,P06493,,TUBB1,Q9H4B7,STRING
5217,CDK1,P06493,,CCNI,Q14094,STRING
5218,CDK1,P06493,,NCAPH,Q15003,STRING
5219,CDK1,P06493,,HIST1H3B,P68431,STRING
5220,CDK1,P06493,,DLGAP5,Q15398,STRING
5221,CDK1,P06493,,TUBA4A,P68366,STRING
5222,CDK1,P06493,,TUBG2,Q9NRH3,STRING
5223,CDK1,P06493,,TUBG1,P23258,STRING
5224,CDK1,P06493,,RRM2B,Q7LG56,STRING
5225,CDK1,P06493,,RPA1,O95602,STRING
5226,CDK1,P06493,,H3F3B,P84243,STRING
5227,CDK1,P06493,,CCNA1,P78396,STRING
5228,CDK1,P06493,,CCNB1,P14635,STRING
5229,CDK1,P06493,,CDK4,P11802,STRING
5230,CDK1,P06493,,ESPL1,Q14674,STRING
5231,CDK1,P06493,,TUBB2B,Q9BVA1,STRING
5232,CDK1,P06493,,KIF23,Q02241,STRING
5233,CDK1,P06493,,KIF11,P52732,STRING
5234,CDK1,P06493,,KIF20B,Q96Q89,STRING
5235,CDK1,P06493,,NDC80,O14777,STRING
5236,CDK1,P06493,,AJUBA,Q96IF1,STRING
5237,CDK1,P06493,,KIF18A,Q8NI77,STRING
5238,CDK1,P06493,,SGOL1,,STRING
5239,CDK1,P06493,,TUBB4A,P04350,STRING
5240,CDK1,P06493,,CENPE,Q02224,STRING
5241,CDK1,P06493,,CDK6,Q00534,STRING
5242,CDK1,P06493,,MAD1L1,Q9Y6D9,STRING
5243,CDK1,P06493,,CDK2,P24941,STRING
5244,CDK1,P06493,,KIF2B,Q8N4N8,STRING
5245,CDK1,P06493,,PLK4,O00444,STRING
5246,CDK1,P06493,,NUF2,Q9BZD4,STRING
5247,CDK1,P06493,,CCNA2,P20248,STRING
5248,CDK1,P06493,,PLK2,Q9NYY3,STRING
5249,CDK1,P06493,,CCNB3,Q8WWL7,STRING
5250,CDK1,P06493,,CCNO,P22674,STRING
5251,CDK1,P06493,,SMC2,O95347,STRING
5252,CDK1,P06493,,BUB1B,O60566,STRING
5253,CDK1,P06493,,CCNB2,O95067,STRING
5254,CDK1,P06493,,RFC4,P35249,STRING
5255,CDK1,P06493,,MAD2L1,Q13257,STRING
5256,CDK1,P06493,,RAD21,O60216,STRING
5257,CDK1,P06493,,PLK1,P53350,STRING
5258,CDK1,P06493,,TPX2,Q9ULW0,STRING
5259,CDK1,P06493,,RRM1,P23921,STRING
5260,CDK1,P06493,,TUBA1A,Q71U36,STRING
5261,CDK1,P06493,,TUBA1C,Q9BQE3,STRING
5262,CDK1,P06493,,KIFC2,Q96AC6,STRING
5263,CDK1,P06493,,BIRC5,O15392,STRING
5264,CDK1,P06493,,BUB1,O43683,STRING
5265,CDK1,P06493,,AURKC,Q9UQB9,STRING
5266,CDK1,P06493,,MCM7,P33993,STRING
5267,CDK1,P06493,,CDC20,Q12834,STRING
5269,CDK1,P06493,,RACGAP1,Q9H0H5,STRING
5270,CDK1,P06493,,CKS1B,P61024,STRING
5271,CDK1,P06493,,CCNG2,Q16589,STRING
5272,CDK1,P06493,,CDCA8,Q53HL2,STRING
5273,CDK1,P06493,,TUBB6,Q9BUF5,STRING
5275,CDK1,P06493,,KIF15,Q9NS87,STRING
5276,CDK1,P06493,,NCAPD2,Q15021,STRING
5278,CDK1,P06493,,TUBA3D,Q13748,STRING
5279,CDK1,P06493,,TACC3,Q9Y6A5,STRING
5280,CDK1,P06493,,TUBB8,Q3ZCM7,STRING
5281,CDK1,P06493,,HIST2H3D,Q71DI3,STRING
5282,CDK1,P06493,,UBL4B,Q8N7F7,STRING
5283,CDK1,P06493,,CDKN3,Q16667,STRING
5284,CDK1,P06493,,TUBA1B,P68363,STRING
5285,CDK1,P06493,,CENPA,P49450,STRING
5286,CDK1,P06493,,ZBTB16,Q05516,STRING
5287,CDK1,P06493,,TUBB,P07437,STRING
5288,CDK1,P06493,,TUBB4B,P68371,STRING
5289,CDK1,P06493,,SMC4,Q9NTJ3,STRING
5290,CDK1,P06493,,KIF18B,Q86Y91,STRING
5291,CDK1,P06493,,CCNG1,P51959,STRING
5292,CDK1,P06493,,XIAP,P98170,STRING
5293,CDK1,P06493,,UBE2C,O00762,STRING
5294,CDK1,P06493,,PRIM1,P49642,STRING
5295,CDK1,P06493,,RRM2,P31350,STRING
5296,CDK1,P06493,,SMC3,Q9UQE7,STRING
5297,CDK1,P06493,,CDC14A,Q9UNH5,STRING
5298,CDK1,P06493,,HIST3H3,Q16695,STRING
5299,CDK1,P06493,,TUBE1,Q9UJT0,STRING
5300,CDK1,P06493,,BUB3,O43684,STRING
5301,CDK1,P06493,,TTK,P33981,STRING
5302,CDK1,P06493,,SPO11,Q9Y5K1,STRING
5303,CDK1,P06493,,PLK3,Q9H4B4,STRING
5304,CDK1,P06493,,KIF2C,Q99661,STRING
5305,CDK1,P06493,,KIF4A,O95239,STRING
5306,CDK1,P06493,,CDC14B,O60729,STRING
5307,CDK1,P06493,,MAPRE1,Q15691,STRING
5308,CDK1,P06493,,CKS2,P33552,STRING
5309,CDK1,P06493,,CCNI2,Q6ZMN8,STRING
5310,CDK1,P06493,,PCNA,P12004,STRING
5311,CDK1,P06493,,KIFC3,Q9BVG8,STRING
5312,CDK1,P06493,,RFC3,P40938,STRING
5313,CDK1,P06493,,TUBB2A,Q13885,STRING
5314,CDK1,P06493,,DUT,P33316,STRING
5315,CDK1,P06493,,CDC20B,Q86Y33,STRING
5316,CDK1,P06493,,PRC1,O43663,STRING
5317,CDK1,P06493,,INCENP,Q9NQS7,STRING
5318,CDK1,P06493,,KIF20A,O95235,STRING
5319,CDK1,P06493,,FZR1,Q9UM11,STRING
5321,KIF2A,O00139,,AURKC,Q9UQB9,STRING
5322,KIF2A,O00139,,CDK1,P06493,STRING
5326,RAD21L1,Q9H4I0,,AURKC,Q9UQB9,STRING
5327,KIF4B,Q2VIQ3,,AURKC,Q9UQB9,STRING
5328,KIF4B,Q2VIQ3,,CDK1,P06493,STRING
5329,BIRC6,Q9NR09,,AURKC,Q9UQB9,STRING
5330,BIRC6,Q9NR09,,CDK1,P06493,STRING
5331,KIFC1,Q9BW19,,TUBA4A,P68366,STRING
5332,KIFC1,Q9BW19,,AURKC,Q9UQB9,STRING
5333,KIFC1,Q9BW19,,CDK1,P06493,STRING
5334,TOP2B,Q02880,,AURKC,Q9UQB9,STRING
5335,TOP2B,Q02880,,CDK1,P06493,STRING
5336,CNTD2,Q9H8S5,,AURKC,Q9UQB9,STRING
5337,CNTD2,Q9H8S5,,CDK1,P06493,STRING
5338,CDK3,Q00526,,TUBA4A,P68366,STRING
5339,CDK3,Q00526,,AURKC,Q9UQB9,STRING
5340,CDK3,Q00526,,CDK1,P06493,STRING
5341,WEE1,P30291,,AURKC,Q9UQB9,STRING
5342,WEE1,P30291,,CDK1,P06493,STRING
5343,CDC45,O75419,,AURKC,Q9UQB9,STRING
5344,CDC45,O75419,,CDK1,P06493,STRING
5345,TOP2A,P11388,,AURKC,Q9UQB9,STRING
5346,TOP2A,P11388,,CDK1,P06493,STRING
5347,BIRC8,Q96P09,,AURKC,Q9UQB9,STRING
5348,MCMDC2,Q4G0Z9,,AURKC,Q9UQB9,STRING
5349,CDK5,Q00535,,TUBA4A,P68366,STRING
5350,CDK5,Q00535,,AURKC,Q9UQB9,STRING
5351,CDK5,Q00535,,CDK1,P06493,STRING
5352,CDK18,Q07002,,AURKC,Q9UQB9,STRING
5353,NAIP,Q13075,,AURKC,Q9UQB9,STRING
5354,CKAP5,Q14008,,TUBA4A,P68366,STRING
5355,CKAP5,Q14008,,AURKC,Q9UQB9,STRING
5356,CKAP5,Q14008,,CDK1,P06493,STRING
5361,CDCA3,Q99618,,AURKC,Q9UQB9,STRING
5362,CDCA3,Q99618,,CDK1,P06493,STRING
5366,TUBB3,Q13509,,AURKC,Q9UQB9,STRING
5367,TUBB3,Q13509,,CDK1,P06493,STRING
5368,CPEB1,Q9BZB8,,AURKC,Q9UQB9,STRING
5369,CPEB1,Q9BZB8,,CDK1,P06493,STRING
5370,AURKB,Q96GD4,,TUBA4A,P68366,STRING
5372,AURKB,Q96GD4,,CDK1,P06493,STRING
5376,PLK5,Q496M5,,TUBA4A,P68366,STRING
5377,PLK5,Q496M5,,AURKC,Q9UQB9,STRING
5378,PLK5,Q496M5,,CDK1,P06493,STRING
5382,BCCIP,Q9P287,,CDK13,Q14004,STRING
5384,BCCIP,Q9P287,,ESF1,Q9H501,STRING
5386,BCCIP,Q9P287,,TWISTNB,Q3B726,STRING
5387,BCCIP,Q9P287,,AATF,Q9NY61,STRING
5388,BCCIP,Q9P287,,CCND1,P24385,STRING
5389,BCCIP,Q9P287,,KRR1,Q13601,STRING
5390,BCCIP,Q9P287,,BYSL,Q13895,STRING
5391,BCCIP,Q9P287,,RRP9,O43818,STRING
5392,BCCIP,Q9P287,,ACVR1C,Q8NER5,STRING
5393,BCCIP,Q9P287,,RRP36,Q96EU6,STRING
5394,BCCIP,Q9P287,,CDKN1A,P38936,STRING
5396,BCCIP,Q9P287,,PYCARD,Q9ULZ3,STRING
5398,BCCIP,Q9P287,,NIP7,Q9Y221,STRING
5399,BCCIP,Q9P287,,CDK7,P50613,STRING
5400,BCCIP,Q9P287,,CCNH,P51946,STRING
5401,BCCIP,Q9P287,,CDK4,P11802,STRING
5402,BCCIP,Q9P287,,CAB39,Q9Y376,STRING
5403,BCCIP,Q9P287,,DDX56,Q9NY93,STRING
5404,BCCIP,Q9P287,,IMP4,Q96G21,STRING
5405,BCCIP,Q9P287,,SSB,P05455,STRING
5406,BCCIP,Q9P287,,WDR12,Q9GZL7,STRING
5407,BCCIP,Q9P287,,MNAT1,P51948,STRING
5408,BCCIP,Q9P287,,CCND2,P30279,STRING
5409,BCCIP,Q9P287,,RBM19,Q9Y4C8,STRING
5410,BCCIP,Q9P287,,CCNT1,O60563,STRING
5412,BCCIP,Q9P287,,DDX18,Q9NVP1,STRING
5413,BCCIP,Q9P287,,ACVR1,Q04771,STRING
5414,BCCIP,Q9P287,,PNO1,Q9NRX1,STRING
5415,BCCIP,Q9P287,,CCNT2,O60583,STRING
5416,BCCIP,Q9P287,,NOP58,Q9Y2X3,STRING
5417,BCCIP,Q9P287,,CDK6,Q00534,STRING
5418,BCCIP,Q9P287,,CDK14,O94921,STRING
5419,BCCIP,Q9P287,,GTF2H1,P32780,STRING
5420,BCCIP,Q9P287,,CDK2,P24941,STRING
5421,BCCIP,Q9P287,,NOB1,Q9ULX3,STRING
5422,BCCIP,Q9P287,,DDX52,Q9Y2R4,STRING
5423,BCCIP,Q9P287,,GTF2H2,Q13888,STRING
5424,BCCIP,Q9P287,,NHP2,Q9NX24,STRING
5425,BCCIP,Q9P287,,ABT1,Q9ULW3,STRING
5426,BCCIP,Q9P287,,WDR74,Q6RFH5,STRING
5427,BCCIP,Q9P287,,RIOK2,Q9BVS4,STRING
5428,BCCIP,Q9P287,,DHX32,Q7L7V1,STRING
5429,BCCIP,Q9P287,,ERCC3,P19447,STRING
5431,BCCIP,Q9P287,,CCNL1,Q9UK58,STRING
5432,BCCIP,Q9P287,,NSA2,O95478,STRING
5435,BCCIP,Q9P287,,TSR1,Q2NL82,STRING
5436,BCCIP,Q9P287,,POLR1D,P0DPB5,STRING
5437,BCCIP,Q9P287,,PA2G4,Q9UQ80,STRING
5438,BCCIP,Q9P287,,PYDC1,Q8WXC3,STRING
5439,BCCIP,Q9P287,,NMD3,Q96D46,STRING
5440,BCCIP,Q9P287,,UTP23,Q9BRU9,STRING
5441,BCCIP,Q9P287,,PRKACA,P17612,STRING
5442,BCCIP,Q9P287,,PHKB,Q93100,STRING
5443,BCCIP,Q9P287,,LARP7,Q4G0J3,STRING
5444,BCCIP,Q9P287,,METTL1,Q9UBP6,STRING
5445,BCCIP,Q9P287,,NOC2L,Q9Y3T9,STRING
5446,BCCIP,Q9P287,,RRP7A,Q9Y3A4,STRING
5447,BCCIP,Q9P287,,RRS1,Q15050,STRING
5448,BCCIP,Q9P287,,ULK1,O75385,STRING
5449,BCCIP,Q9P287,,IMP3,Q9NV31,STRING
5450,BCCIP,Q9P287,,SETD3,Q86TU7,STRING
5452,BCCIP,Q9P287,,SETD4,Q9NVD3,STRING
5453,BCCIP,Q9P287,,ZNRD1,Q9P1U0,STRING
5454,BCCIP,Q9P287,,DHX15,O43143,STRING
5455,BCCIP,Q9P287,,GNL3L,Q9NVN8,STRING
5456,BCCIP,Q9P287,,BRIX1,Q8TDN6,STRING
5457,BCCIP,Q9P287,,RRP1B,Q14684,STRING
5458,BCCIP,Q9P287,,FCF1,Q9Y324,STRING
5459,BCCIP,Q9P287,,LYAR,Q9NX58,STRING
5460,BCCIP,Q9P287,,DDX21,Q9NR30,STRING
5461,BCCIP,Q9P287,,PES1,O00541,STRING
5462,BCCIP,Q9P287,,SDAD1,Q9NVU7,STRING
5463,BCCIP,Q9P287,,DDX47,Q9H0S4,STRING
5464,BCCIP,Q9P287,,AKAP4,Q5JQC9,STRING
5465,BCCIP,Q9P287,,TGFBR2,P37173,STRING
5466,BCCIP,Q9P287,,MAK16,Q9BXY0,STRING
5467,BCCIP,Q9P287,,PRKAR1B,P31321,STRING
5468,BCCIP,Q9P287,,GTPBP4,Q9BZE4,STRING
5469,BCCIP,Q9P287,,ERC1,Q8IUD2,STRING
5470,BCCIP,Q9P287,,TFB2M,Q9H5Q4,STRING
5471,BCCIP,Q9P287,,TFB1M,Q8WVM0,STRING
5472,BCCIP,Q9P287,,LTV1,Q96GA3,STRING
5474,IKBKG,Q9Y6K9,,BCCIP,Q9P287,STRING
5475,CHUK,O15111,,BCCIP,Q9P287,STRING
5476,RPF1,Q9H9Y2,,BCCIP,Q9P287,STRING
5477,PRKACB,P22694,,BCCIP,Q9P287,STRING
5478,MMS19,Q96T76,,BCCIP,Q9P287,STRING
5479,DDX27,Q96GQ7,,BCCIP,Q9P287,STRING
5480,SURF6,O75683,,BCCIP,Q9P287,STRING
5482,CCND3,P30281,,BCCIP,Q9P287,STRING
5484,ENG,P17813,,BCCIP,Q9P287,STRING
5485,CDK9,P50750,,BCCIP,Q9P287,STRING
5486,PHKA1,P46020,,BCCIP,Q9P287,STRING
5487,BMS1,Q14692,,BCCIP,Q9P287,STRING
5488,WDR46,O15213,,BCCIP,Q9P287,STRING
5489,CCNY,Q8ND76,,BCCIP,Q9P287,STRING
5490,TEX10,Q9NXF1,,BCCIP,Q9P287,STRING
5491,TGFBR1,P36897,,BCCIP,Q9P287,STRING
5492,TSR2,Q969E8,,BCCIP,Q9P287,STRING
5493,MRTO4,Q9UKD2,,BCCIP,Q9P287,STRING
5494,NSUN6,Q8TEA1,,BCCIP,Q9P287,STRING
5495,POLR3F,Q9H1D9,,BCCIP,Q9P287,STRING
5496,POLR1E,Q9GZS1,,BCCIP,Q9P287,STRING
5497,PAK1IP1,Q9NWT1,,BCCIP,Q9P287,STRING
5498,PHKA2,P46019,,BCCIP,Q9P287,STRING
5499,BRCA2,P51587,,CDK4,P11802,STRING
5500,BRCA2,P51587,,CDK2,P24941,STRING
5501,BRCA2,P51587,,TP53,P04637,STRING
5503,NOL10,Q9BSC4,,BCCIP,Q9P287,STRING
5504,RAD51,Q06609,,BCCIP,Q9P287,STRING
5506,NOP16,Q9Y3C1,,BCCIP,Q9P287,STRING
5507,CCNK,O75909,,BCCIP,Q9P287,STRING
5508,ERCC2,P18074,,BCCIP,Q9P287,STRING
5509,ERCC2,P18074,,BRCA2,P51587,STRING
5510,RPL23,P62829,,BCCIP,Q9P287,STRING
5511,CRCP,O75575,,BCCIP,Q9P287,STRING
5512,RPS8,P62241,,BCCIP,Q9P287,STRING
5513,HIST1H2BN,Q99877,,BCCIP,Q9P287,STRING
5514,HIST1H2BN,Q99877,,BRCA2,P51587,STRING
5516,NOP2,P46087,,BCCIP,Q9P287,STRING
5517,CCNL2,Q96S94,,BCCIP,Q9P287,STRING
5518,WDR43,Q15061,,BCCIP,Q9P287,STRING
5520,NGDN,Q8NEJ9,,BCCIP,Q9P287,STRING
5521,PWP1,Q13610,,BCCIP,Q9P287,STRING
5523,FTSJ3,Q8IY81,,BCCIP,Q9P287,STRING
5524,CDK12,Q9NYV4,,BCCIP,Q9P287,STRING
5526,ERN1,O75460,,BCCIP,Q9P287,STRING
5527,RPF2,Q9H7B2,,BCCIP,Q9P287,STRING
5528,GAMT,Q14353,,BCCIP,Q9P287,STRING
5529,EBNA1BP2,Q99848,,BCCIP,Q9P287,STRING
5530,CMSS1,Q9BQ75,,BCCIP,Q9P287,STRING
5531,RRP1,P56182,,BCCIP,Q9P287,STRING
5532,TCEA1,P23193,,BCCIP,Q9P287,STRING
5533,CCNC,P24863,,BCCIP,Q9P287,STRING
5534,IKBKB,O14920,,BCCIP,Q9P287,STRING
5535,ATG13,O75143,,BCCIP,Q9P287,STRING
5536,ACVR1B,P36896,,BCCIP,Q9P287,STRING
5537,GTF2H3,Q13889,,BCCIP,Q9P287,STRING
5539,PHKG2,P15735,,BCCIP,Q9P287,STRING
5542,STAT3,P40763,,SIRT1,Q96EB6,STRING
5544,STAT3,P40763,,RPS6KB1,P23443,STRING
5545,STAT3,P40763,,GAPDH,P04406,STRING
5546,STAT3,P40763,,LRPPRC,P42704,STRING
5547,STAT3,P40763,,PIK3C3,Q8NEB9,STRING
5548,STAT3,P40763,,VMP1,Q96GC9,STRING
5549,STAT3,P40763,,PIK3R3,Q92569,STRING
5550,STAT3,P40763,,MAPK3,Q16644,STRING
5551,STAT3,P40763,,PIK3CA,P42336,STRING
5552,ERBB2,P04626,,STAT3,P40763,STRING
5553,AKT1,P31749,,STAT3,P40763,STRING
5555,EGFR,P00533,,STAT3,P40763,STRING
5556,PIK3CB,P42338,,STAT3,P40763,STRING
5558,BIRC5,O15392,,STAT3,P40763,STRING
5559,BCL2L1,Q07817,,STAT3,P40763,STRING
5560,CASP3,P42574,,STAT3,P40763,STRING
5561,MBOAT4,Q96T53,,STAT3,P40763,STRING
5562,STK11,Q15831,,STAT3,P40763,STRING
5563,HSP90AB1,P08238,,STAT3,P40763,STRING
5564,BCL2,P10415,,STAT3,P40763,STRING
5565,CASP9,P55211,,STAT3,P40763,STRING
5566,HSP90AA1,P07900,,STAT3,P40763,STRING
5568,FOXO3,O43524,,STAT3,P40763,STRING
5569,CASP8,Q14790,,STAT3,P40763,STRING
5570,PRDM10,Q9NQV6,,STAT3,P40763,STRING
5571,PIK3CG,P48736,,STAT3,P40763,STRING
5572,MAPK8,P45983,,STAT3,P40763,STRING
5573,BAK1,Q16611,,STAT3,P40763,STRING
5575,BECN1,Q14457,,RB1CC1,,STRING
5576,BECN1,Q14457,,GABARAPL2,P60520,STRING
5577,BECN1,Q14457,,SIRT1,Q96EB6,STRING
5578,BECN1,Q14457,,RASD2,Q96D21,STRING
5580,BECN1,Q14457,,TSC2,P49815,STRING
5581,BECN1,Q14457,,MEFV,O15553,STRING
5582,BECN1,Q14457,,PIK3R2,O00459,STRING
5583,BECN1,Q14457,,VIM,P08670,STRING
5584,BECN1,Q14457,,RPS6KB1,P23443,STRING
5585,BECN1,Q14457,,BIRC2,Q13490,STRING
5586,BECN1,Q14457,,OAS3,Q9Y6K5,STRING
5587,BECN1,Q14457,,PRKAB1,Q9Y478,STRING
5589,BECN1,Q14457,,PRKAG3,Q9UGI9,STRING
5590,BECN1,Q14457,,CTSD,P07339,STRING
5591,BECN1,Q14457,,MYL12B,O14950,STRING
5592,BECN1,Q14457,,DYNLL2,Q96FJ2,STRING
5593,BECN1,Q14457,,DYNLL1,P63167,STRING
5594,BECN1,Q14457,,UBA2,Q9UBT2,STRING
5595,BECN1,Q14457,,ATG14,Q6ZNE5,STRING
5596,BECN1,Q14457,,PYCARD,Q9ULZ3,STRING
5598,BECN1,Q14457,,SNX4,O95219,STRING
5599,BECN1,Q14457,,PRKAB2,O43741,STRING
5600,BECN1,Q14457,,OASL,Q15646,STRING
5601,BECN1,Q14457,,CALCOCO2,Q13137,STRING
5602,BECN1,Q14457,,RIPK1,Q13546,STRING
5603,BECN1,Q14457,,VAC14,Q08AM6,STRING
5604,BECN1,Q14457,,PIK3C3,Q8NEB9,STRING
5605,BECN1,Q14457,,WIPI1,Q5MNZ9,STRING
5606,BECN1,Q14457,,RHEB,Q15382,STRING
5607,BECN1,Q14457,,VMP1,Q96GC9,STRING
5608,BECN1,Q14457,,PIK3R3,Q92569,STRING
5609,BECN1,Q14457,,MAPK3,Q16644,STRING
