ACAP2
ADAP1
AGFG1
ANXA4
AURKC
BCCIP
BECN1
BDKRB2
BRCA2
CALR
CAV1
CAPZA2
CDC42
CDK1
CLTC
CUL2
DCLK1
DMPK
POLD1
EIF2AK2
ENAH
BRIP1
GGA2
GNPNAT1
HSF4
IFIT3
ILF3
ITGAV
KIF3A
KATNB1
LMNA
MAP3K8
MEF2D
MAPK3
MAP2K4
NDUFA13
PPP3CA
PTPN1
RABGEF1
RAP2A
RAB27A
RBBP4
SERINC3
SKP1
SORT1
SPI1
SQSTM1
SRF
STAT1
STAT3
STAT6
TUBA4A
FASLG
UBE2L3
