TUBG1 AURKC
TUBG1 KATNB1
POLD4 BRCA2
POLD4 BRIP1
POLD4 POLD1
UVSSA POLD1
TP53BP1 DCLK1
TP53BP1 POLD1
CHEK2 BRCA2
CHEK2 BRIP1
CHEK2 POLD1
RRM1 AURKC
RRM1 POLD1
RAD17 BRCA2
RAD17 DCLK1
RAD17 POLD1
RAD17 BRIP1
H2BFWT POLD1
FEN1 BRIP1
FEN1 POLD1
DBF4B POLD1
TEX15 BRCA2
MUTYH BRCA2
MUTYH POLD1
KIF4A BRCA2
KIF4A AURKC
CYB5R4 POLD1
TOP2A BRIP1
TOP2A AURKC
TOP2A BRCA2
TOP2A POLD1
POLN BRCA2
POLN POLD1
POLQ BRIP1
POLQ POLD1
WRNIP1 POLD1
SDF4 BRCA2
SWSAP1 POLD1
SMARCA4 DCLK1
SMARCA4 POLD1
SMARCA4 BRIP1
MSH6 BRCA2
MSH6 BRIP1
MSH6 POLD1
KATNB1 Ndel1
KATNB1 TUBA1A
KATNB1 Katna1
KATNB1 KATNBL1
KATNB1 CCNB1
KATNB1 MSH3
KATNB1 TUBB
KATNB1 FIGN
KATNB1 SSX2IP
KATNB1 KATNAL2
KATNB1 TUBB2A
KATNB1 KATNA1
RMI1 BRCA2
RMI1 BRIP1
RMI1 POLD1
ZBTB32 POLD1
PRSS3 POLD1
TACC1 AURKC
MLH1 POLD1
MLH1 BRIP1
MLH1 BRCA2
CE128 DCLK1
RRM2 AURKC
RRM2 DCLK1
RRM2 POLD1
GGYF2 DCLK1
RAD9B BRCA2
RAD9B BRIP1
DCLK1 PHLB2
DCLK1 SH3B4
DCLK1 XRCC3
DCLK1 NADK
DCLK1 PLK2
DCLK1 RAD51C
DCLK1 CAMP2
DCLK1 SPO11
DCLK1 CCNB1
DCLK1 PLK3
DCLK1 FA53C
DCLK1 AMBP
DCLK1 NUFP1
DCLK1 KI13B
DCLK1 AKAP10
DCLK1 KTU
DCLK1 TFPI2
DCLK1 CBY1
DCLK1 NGAP
DCLK1 SMARCA2
DCLK1 MAB21L1
DCLK1 POLD2
DCLK1 RAD1
DCLK1 WFDC6
DCLK1 RRM2B
DCLK1 BOREA
DCLK1 MCM4
DCLK1 SRS12
DCLK1 XRCC6
DCLK1 FANCM
DCLK1 DGUOK
DCLK1 DEP1B
DCLK1 SRGP2
DCLK1 TTC28
DCLK1 PPM1H
DCLK1 F110B
DCLK1 DCX
DCLK1 F110A
DCLK1 ZN638
DCLK1 MAGI1
DCLK1 STK31
DCLK1 PCNA
DCLK1 PKHA7
DCLK1 CHEK1
DCLK1 PTPN5
DCLK1 CCNB2
DCLK1 MCM5
DCLK1 M3K21
DCLK1 WFDC8
DCLK1 DEN1A
DCLK1 NBEA
DCLK1 DMC1
DCLK1 PLK5
DCLK1 TBC25
DCLK1 ATM
DCLK1 RAD51B
DCLK1 MYCPP
DCLK1 SPINT3
GINS4 POLD1
C12orf43 AURKC
RPA3 BRCA2
RPA3 POLD1
RPA3 BRIP1
NHEJ1 POLD1
POLD1 ENTPD8
POLD1 RTEL1
POLD1 REV1
POLD1 RECQL5
POLD1 MSH4
POLD1 HIST1H2BH
POLD1 POLE3
POLD1 DPYD
POLD1 MSH3
POLD1 RFC3
POLD1 DOT1L
POLD1 RFC4
POLD1 XRCC2
POLD1 MLH3
POLD1 HIST1H2BO
POLD1 SMARCA2
POLD1 POLD2
POLD1 BRIP1
POLD1 MCM5
POLD1 FAM96B
POLD1 GINS1
POLD1 GTF2H5
POLD1 XRCC5
POLD1 XRCC4
POLD1 CS
POLD1 CCNB2
POLD1 MCM4
POLD1 NDOR1
POLD1 USP43
POLD1 NTHL1
POLD1 HMGN1
POLD1 RMI2
POLD1 RBBP8
POLD1 RFC1
POLD1 ATM
POLD1 EXO1
POLD1 TAF1
POLD1 BRCA2
POLD1 GEN1
POLD1 HIST2H2BE
POLD1 ZSWIM7
POLD1 NARFL
POLD1 POLH
POLD1 MCM7
POLD1 FANCM
POLD1 CDK2
POLD1 CHTF18
POLD1 HELQ
POLD1 TOP3B
POLD1 DCTPP1
POLD1 LIG4
POLD1 RAD51C
POLD1 TUBB3
POLD1 CHEK1
POLD1 TUBB2A
POLD1 CDK4
POLD1 DCLRE1A
POLD1 HIST1H2BG
POLD1 RAD51B
POLD1 RAD18
POLD1 PMS2
POLD1 TIPIN
POLD1 ASPG
POLD1 XRCC3
POLD1 RHPN2
POLD1 CDK6
POLD1 CCNB1
POLD1 DDB2
POLD1 NCAPD2
POLD1 RFC5
POLD1 CENPA
POLD1 POLR2G
POLD1 H3F3C
POLD1 PRKDC
POLD1 RAD1
POLD1 TOP1MT
POLD1 RRM2B
POLD1 DUT
POLD1 TOP3A
POLD1 RPA1
POLD1 TOP2B
POLD1 ACLY
POLD1 ERCC4
POLD1 PCNA
POLD1 ESPL1
POLD1 GART
POLD1 HELZ2
POLD1 TUBB
POLD1 XPA
POLD1 EXD3
POLD1 POLD3
POLD1 RPA2
POLD1 POLB
POLD1 REC8
POLD1 ERCC5
POLD1 MAGED1
POLD1 TUBB2B
POLD1 APEX2
POLD1 HIST1H2BA
POLD1 XRCC6
POLD1 MCMDC2
POLD1 NUBP2
POLD1 RAD51AP1
POLD1 HIST1H2BK
POLD1 RAD54B
POLD1 CCNA2
POLD1 TP53
POLD1 DMC1
POLD1 HIST1H2BM
POLD1 AQR
POLD1 TAF1L
POLD1 PURB
POLD1 HIST2H3D
POLD1 ERCC2
POLD1 GTF2H1
POLD1 WRN
POLD1 TUBB6
POLD1 POLE4
POLD1 WEE1
POLD1 RAD52
POLD1 CDCA8
POLD1 NBN
POLD1 PARP1
POLD1 MMS19
POLD1 PFAS
POLD1 MNAT1
POLD1 POLA2
POLD1 CCNH
DUT AURKC
TREX1 BRCA2
UBP11 BRCA2
ERCC5 BRCA2
ERCC5 BRIP1
SEM1 BRCA2
SLX4 BRCA2
SLX4 BRIP1
GTF2A2 BRIP1
HIST2H3D AURKC
TUBB6 AURKC
XRCC2 BRCA2
XRCC2 BRIP1
POLE3 BRCA2
POLE3 BRIP1
BRIP1 NBN
BRIP1 RAD9A
BRIP1 RMI2
BRIP1 MCM5
BRIP1 RTEL1
BRIP1 REV1
BRIP1 RBBP8
BRIP1 RFC1
BRIP1 RPA2
BRIP1 TIPIN
BRIP1 NUBP2
BRIP1 BRCA2
BRIP1 RAD51AP1
BRIP1 ATM
BRIP1 XRCC3
BRIP1 EXO1
BRIP1 RFC3
BRIP1 FANCL
BRIP1 RFC4
BRIP1 POLR2G
BRIP1 TP53
BRIP1 RFC5
BRIP1 NARFL
BRIP1 PIF1
BRIP1 MSH3
BRIP1 FAN1
BRIP1 MNAT1
BRIP1 RAD1
BRIP1 POLH
BRIP1 MCM4
BRIP1 AMY2A
BRIP1 RAD18
BRIP1 RAD51C
BRIP1 FANCA
BRIP1 MCM7
BRIP1 FAM96B
BRIP1 GINS1
BRIP1 GTF2H1
BRIP1 AARS
BRIP1 GTF2H5
BRIP1 WRN
BRIP1 ATRIP
BRIP1 CHTF18
BRIP1 GEN1
BRIP1 POLE4
BRIP1 TOP2B
BRIP1 GTF2E1
BRIP1 FANCG
BRIP1 ERCC4
BRIP1 RAD52
BRIP1 TOP3A
BRIP1 CHEK1
BRIP1 FANCM
BRIP1 POLD3
BRIP1 ERCC2
BRIP1 RECQL5
BRIP1 NDOR1
BRIP1 RPA1
BRIP1 POLR3H
BRIP1 RHNO1
BRIP1 HUS1
BRIP1 KIAA0146
BRIP1 XPA
BRIP1 RAD51B
BRIP1 HELQ
BRIP1 PCNA
BRIP1 MMS19
BRIP1 POLD2
BRIP1 PMS2
BRIP1 GTF2H2C
BRIP1 BRF2
BRIP1 CCNH
BRIP1 FANCI
FANCA BRCA2
BUB1B AURKC
BUB1B BRCA2
RAD9A BRCA2
SPANXA1 BRCA2
TUBA1A AURKC
EXO1 BRCA2
GEN1 BRCA2
CHTF18 AURKC
RRM2B AURKC
BUB1 AURKC
BUB1 BRCA2
TUBB2B AURKC
TP53 BRCA2
CDCA8 AURKC
CRYAA BRCA2
WEE1 AURKC
TOP3A BRCA2
Rad51 BRCA2
RTEL1 BRCA2
HIST1H2BH BRCA2
XRCC4 BRCA2
FANCI BRCA2
NED4L AURKC
MCM7 AURKC
OTX2 AURKC
A2RRN7 AURKC
XRCC3 BRCA2
CCNB1 AURKC
NCAPD2 AURKC
TACC2 AURKC
RAD54B BRCA2
SPO11 AURKC
SPO11 BRCA2
B4URF7 BRCA2
RFC4 AURKC
RFC4 BRCA2
POLD2 BRCA2
BRE BRCA2
RFC1 BRCA2
RPA2 BRCA2
C11orf30 BRCA2
CCNA2 AURKC
CCNA2 BRCA2
CDK2 BRCA2
CDK2 AURKC
MCPH1 BRCA2
PMS2 BRCA2
KLHL10 AURKC
CDK6 AURKC
FANCG BRCA2
RAD51B BRCA2
PLK2 AURKC
MCMDC2 AURKC
TOP2B AURKC
TOP2B BRCA2
POLD3 BRCA2
ERCC2 BRCA2
