SYMBOL_A,UNIPROT_AC_A,INTERACTION_TYPE,SYMBOL_B,UNIPROT_AC_B,SOURCE
EIF2AK2,P19525,physical,EDC4,Q6P2E9,BIOGRID
EIF2AK2,P19525,physical,HNRNPC,P07910,BIOGRID
EIF2AK2,P19525,physical,IFRD1,A4D0U1,BIOGRID
SQSTM1,Q13501,physical,PRKCD,A0A024R328,BIOGRID
STAT1,P42224,physical,MTOR,P42345,BIOGRID
KMT2E,Q8IZD2,physical,RBBP4,Q09028,BIOGRID
NIT1,B7Z410,physical,TUBA4A,P68366,BIOGRID
FBXW7,G0Z2K0,physical,SKP1,P63208,BIOGRID
SKP1,P63208,physical,ZC3HC1,C9J0I9,BIOGRID
HDAC4,P56524,physical,STAT1,P42224,BIOGRID
IFIT3,O14879,physical,CCDC67,E9PLX9,BIOGRID
SQSTM1,Q13501,physical,CD48,A0A087X1S7,BIOGRID
FANCC,A0A024R9N2,physical,EIF2AK2,P19525,BIOGRID
MTSS1,A5YM41,physical,SKP1,P63208,BIOGRID
HMG20B,Q9P0W2,physical,BRCA2,P51587,BIOGRID
GOLT1B,Q9Y3E0,physical,NDUFA13,Q9P0J0,BIOGRID
BRCA2,P51587,physical,SHFM1,B7ZVW6,BIOGRID
ENAH,Q8N8S7,physical,EVL,A0A024R6K5,BIOGRID
TRAF6,Q9Y4K3,physical,STAT3,P40763,BIOGRID
ERBB3,P21860,physical,TUBA4A,P68366,BIOGRID
SPP1,A0A024RDE2,physical,ITGAV,P06756,BIOGRID
PDIA3,P30101,physical,CALR,P27797,BIOGRID
STAT3,P40763,physical,ELP2,Q6IA86,BIOGRID
CRY2,A0A0D2X7Z3,physical,SKP1,P63208,BIOGRID
LMO2,P25791,physical,STAT1,P42224,BIOGRID
BRCA2,P51587,physical,MAGED1,Q9Y5V3,BIOGRID
SUZ12,J3QQW9,physical,RBBP4,Q09028,BIOGRID
CBX5,P45973,physical,RBBP4,Q09028,BIOGRID
MEF2D,Q14814,physical,MEF2A,A0A0S2Z417,BIOGRID
GHR,A0A087X0H5,physical,STAT3,P40763,BIOGRID
SKP1,P63208,physical,SKP2,A0A024R069,BIOGRID
IKBKB,O14920,physical,EIF2AK2,P19525,BIOGRID
ELP2,Q6IA86,physical,STAT1,P42224,BIOGRID
MAP1LC3A,Q9H492,physical,SQSTM1,Q13501,BIOGRID
GBP2,P32456,physical,SQSTM1,Q13501,BIOGRID
SQSTM1,Q13501,physical,PSMD12,A0A0S2Z489,BIOGRID
YWHAQ,P27348,physical,LMNA,P02545,BIOGRID
BRCA2,P51587,physical,FANCE,Q9HB96,BIOGRID
EED,E9PJK2,physical,SKP1,P63208,BIOGRID
TMEM25,A0A024R3G8,physical,ITGAV,P06756,BIOGRID
EIF2AK2,P19525,physical,GNL3,Q9BVP2,BIOGRID
AURKC,Q9UQB9,physical,CDC37,A0A024R7B7,BIOGRID
JAK1,P23458,physical,STAT3,P40763,BIOGRID
CALR,P27797,physical,NACA2,Q9H009,BIOGRID
LMNA,P02545,physical,GTF2A1,P52655,BIOGRID
SORT1,Q99523,physical,NOP2,P46087,BIOGRID
BLK,E9PJX5,physical,STAT3,P40763,BIOGRID
NAAA,Q02083,physical,TUBA4A,P68366,BIOGRID
ITCH,Q96J02,physical,MAP2K4,P45985,BIOGRID
STAT1,P42224,physical,EP300,Q09472,BIOGRID
ENAH,Q8N8S7,physical,RAC1,A4D2P0,BIOGRID
SORT1,Q99523,physical,TCIRG1,A0A024R5E5,BIOGRID
ARRB1,B7Z1Q3,physical,MAP2K4,P45985,BIOGRID
SORT1,Q99523,physical,MAP3K4,J3KNB8,BIOGRID
STUB1,Q9UNE7,physical,SQSTM1,Q13501,BIOGRID
SKP1,P63208,physical,FBXO30,Q8TB52,BIOGRID
EIF2S1,P05198,physical,EIF2AK2,P19525,BIOGRID
MAP3K14,Q68D39,physical,MAP3K8,P41279,BIOGRID
BRCA2,P51587,genetic,HDAC6,A0A024QZ26,BIOGRID
SQSTM1,Q13501,physical,PRKCI,P41743,BIOGRID
FBXW8,Q8N3Y1,physical,SKP1,P63208,BIOGRID
PRKCZ,Q05513,physical,SQSTM1,Q13501,BIOGRID
CREBBP,Q92793,physical,STAT1,P42224,BIOGRID
BICD1,A8MVZ6,physical,STAT3,P40763,BIOGRID
ELAVL1,Q15717,physical,SORT1,Q99523,BIOGRID
HTT,P42858,physical,SQSTM1,Q13501,BIOGRID
FAF1,Q9UNN5,physical,SKP1,P63208,BIOGRID
WDR1,O75083,physical,CALR,P27797,BIOGRID
GGA2,Q9UJY4,physical,RNF11,Q9Y3C5,BIOGRID
ACP5,A0A024R7F8,physical,CALR,P27797,BIOGRID
SKP1,P63208,physical,NUDT9P1,,BIOGRID
SPI1,P17947,physical,VAV1,A0A0A0MR07,BIOGRID
STAT3,P40763,physical,NFKBIZ,Q9BYH8,BIOGRID
STAT3,P40763,physical,DOK3,A0A024R7M5,BIOGRID
SKP1,P63208,physical,NFKBIA,P25963,BIOGRID
NDUFV2,P19404,physical,NDUFA13,Q9P0J0,BIOGRID
PTK2,Q05397,physical,STAT3,P40763,BIOGRID
AURKC,Q9UQB9,physical,BIRC5,A0A0B4J1S3,BIOGRID
SKP1,P63208,physical,TTC9C,Q8N5M4,BIOGRID
RBBP7,Q16576,physical,RBBP4,Q09028,BIOGRID
MAPT,A0A024R9Y0,physical,TUBA4A,P68366,BIOGRID
BRCA2,P51587,physical,AURKB,Q96GD4,BIOGRID
SQSTM1,Q13501,physical,MAPK1,P28482,BIOGRID
NCAPH2,Q6IBW4,physical,BRCA2,P51587,BIOGRID
CHEK2,O96017,physical,BRCA2,P51587,BIOGRID
DAZAP2,A0A024R110,physical,SQSTM1,Q13501,BIOGRID
BRCA2,P51587,physical,FANCD2,A0A024R2G2,BIOGRID
BRCA2,P51587,physical,PALB2,H3BN63,BIOGRID
TMPO,A0A024RBE7,physical,LMNA,P02545,BIOGRID
PHF6,Q8IWS0,physical,RBBP4,Q09028,BIOGRID
MSN,P26038,physical,CALR,P27797,BIOGRID
LMNA,P02545,physical,PCBP1,Q15365,BIOGRID
RARA,A8K840,physical,SQSTM1,Q13501,BIOGRID
ILF3,A0A024R7C7,physical,TUBA4A,P68366,BIOGRID
STAT3,P40763,physical,PAFAH1B2,P68402,BIOGRID
SORT1,Q99523,physical,PLCB3,Q01970,BIOGRID
IGF2R,P11717,physical,GGA2,Q9UJY4,BIOGRID
BTG1,P62324,physical,SKP1,P63208,BIOGRID
SORT1,Q99523,physical,SSH3,A0A024R5J4,BIOGRID
STAT3,P40763,physical,RELA,A0A087X0W8,BIOGRID
MTA2,A0A024R534,physical,RBBP4,Q09028,BIOGRID
XPO1,B3KWD0,physical,SQSTM1,Q13501,BIOGRID
LMNA,P02545,physical,TMEM230,A0A087WTT2,BIOGRID
SQSTM1,Q13501,physical,CUL3,A0A024R475,BIOGRID
FASLG,P48023,physical,TEC,P42680,BIOGRID
BRCA2,P51587,physical,RAD21,A0A024R9J0,BIOGRID
STAT3,P40763,physical,STAT1,P42224,BIOGRID
SKP1,P63208,physical,FBXO2,Q9UK22,BIOGRID
FCGR3B,A0A087WU90,physical,ITGAV,P06756,BIOGRID
FASLG,P48023,physical,SKAP2,B7Z5R3,BIOGRID
CCDC6,Q05CP8,physical,SKP1,P63208,BIOGRID
CHUK,O15111,physical,MAP3K8,P41279,BIOGRID
Nedd4,A0A0G2K8P3,physical,MAP3K8,P41279,BIOGRID
SKP1,P63208,physical,CENPE,Q02224,BIOGRID
IFIT3,O14879,physical,SNRPC,P09234,BIOGRID
SRC,P12931,physical,STAT1,P42224,BIOGRID
SKP1,P63208,physical,FBXL12,Q9NXK8,BIOGRID
BDKRB2,P30411,physical,NOS1,A0PJJ7,BIOGRID
TNPO1,A0A024RAM0,physical,TUBA4A,P68366,BIOGRID
PPP1CA,A0A140VJS9,physical,EIF2AK2,P19525,BIOGRID
FBXL22,A0A1W2PQW8,physical,SKP1,P63208,BIOGRID
MAP2K4,P45985,physical,NBR1,A0A024R1V3,BIOGRID
VDAC3,Q9Y277,physical,RAP2A,P10114,BIOGRID
Ercc6l,Q8BHK9,physical,NDUFA13,Q9P0J0,BIOGRID
ITGAV,P06756,physical,ITGB1,P05556,BIOGRID
EIF2AK2,P19525,physical,DICER1,Q9UPY3,BIOGRID
SQSTM1,Q13501,physical,AJUBA,Q96IF1,BIOGRID
CTNNBL1,Q8WYA6,physical,STAT1,P42224,BIOGRID
SKP1,P63208,physical,FBXO4,B3KNA0,BIOGRID
TAP1,A0A0S2Z5A6,physical,CALR,P27797,BIOGRID
EIF2AK2,P19525,physical,STAT1,P42224,BIOGRID
LIN37,Q96GY3,physical,RBBP4,Q09028,BIOGRID
Cdk1,P11440,physical,SKP1,P63208,BIOGRID
EGFR,B7Z2I3,physical,STAT3,P40763,BIOGRID
KLHL33,A0A1B0GUB7,physical,TUBA4A,P68366,BIOGRID
POLH,A0A024RD62,physical,TUBA4A,P68366,BIOGRID
Mad2l1,Q5HZH8,physical,BCCIP,Q9P287,BIOGRID
CKS1B,P61024,physical,SKP1,P63208,BIOGRID
SQSTM1,Q13501,physical,HDAC6,A0A024QZ26,BIOGRID
EIF2AK2,P19525,physical,TP53,A0A087WT22,BIOGRID
OBSL1,O75147,physical,RBBP4,Q09028,BIOGRID
FASLG,P48023,physical,NCKIPSD,Q9NZQ3,BIOGRID
AURKC,Q9UQB9,physical,CDK5,A0A090N7W4,BIOGRID
FASLG,P48023,physical,ITSN2,A6H8W8,BIOGRID
SKP1,P63208,physical,UBE2D1,A0A024QZJ2,BIOGRID
SQSTM1,Q13501,physical,GPC4,O75487,BIOGRID
RETN,Q9HD89,physical,SQSTM1,Q13501,BIOGRID
CALR,P27797,physical,ANP32B,Q92688,BIOGRID
EEF2,P13639,physical,CALR,P27797,BIOGRID
HIC1,A0PJI1,physical,STAT3,P40763,BIOGRID
PSMC3,A0A140VK42,physical,STAT1,P42224,BIOGRID
ISG15,P05161,physical,LMNA,P02545,BIOGRID
FBXO11,Q86XK2,physical,SKP1,P63208,BIOGRID
ATM,A0A024R3C7,physical,BRCA2,P51587,BIOGRID
PRODH,O43272,physical,TUBA4A,P68366,BIOGRID
USP11,B4DGK3,physical,BRCA2,P51587,BIOGRID
MARCKSL1,P49006,physical,BCCIP,Q9P287,BIOGRID
FASLG,P48023,physical,TRIP6,Q15654,BIOGRID
AI837181,E9QNR6,physical,CALR,P27797,BIOGRID
SORT1,Q99523,physical,SLC25A25,Q6KCM7,BIOGRID
CDK2,A0A024RB10,physical,SKP1,P63208,BIOGRID
CHD4,F5GWX5,physical,RBBP4,Q09028,BIOGRID
LMNA,P02545,physical,RBBP4,Q09028,BIOGRID
BRCA2,P51587,physical,RAD51,Q06609,BIOGRID
Itsn2,B2RR82,physical,BCCIP,Q9P287,BIOGRID
MAP2K4,P45985,physical,MAP3K1,Q13233,BIOGRID
FAS,K9J972,physical,SQSTM1,Q13501,BIOGRID
CYP1A1,A0N0X8,physical,EIF2AK2,P19525,BIOGRID
IL12RB1,P42701,physical,TUBA4A,P68366,BIOGRID
STAT3,P40763,physical,SULT2A1,A8K015,BIOGRID
MAP2K4,P45985,physical,MAPK10,A0A1P0B7D2,BIOGRID
STAT3,P40763,physical,NCOA1,Q15788,BIOGRID
RAP2A,P10114,physical,RUNDC3A,Q59EK9,BIOGRID
JAK3,A0A024R7M7,physical,TUBA4A,P68366,BIOGRID
S1PR1,P21453,physical,RAP2A,P10114,BIOGRID
IL2RB,P14784,physical,STAT3,P40763,BIOGRID
FBXW11,B4DH70,physical,SKP1,P63208,BIOGRID
ABCB1,A4D1D2,physical,BCCIP,Q9P287,BIOGRID
NDUFA13,Q9P0J0,physical,NDUFS7,F5H5N1,BIOGRID
Fbxw11,Q5SRY7,physical,SKP1,P63208,BIOGRID
SPI1,P17947,physical,SIN3A,Q96ST3,BIOGRID
ITGAV,P06756,physical,STAT1,P42224,BIOGRID
UBE3D,Q4G0J6,physical,TUBA4A,P68366,BIOGRID
RTF1,Q92541,physical,STAT1,P42224,BIOGRID
FBXO6,Q9NRD1,physical,RBBP4,Q09028,BIOGRID
Apbb1,P46933,physical,ENAH,Q8N8S7,BIOGRID
HDAC2,Q92769,physical,RBBP4,Q09028,BIOGRID
KEAP1,A0A024R7C0,physical,SQSTM1,Q13501,BIOGRID
IFNA5,P01569,physical,IFIT3,O14879,BIOGRID
TK1,K7ES52,physical,RBBP4,Q09028,BIOGRID
CASP8,A0A024R3Z8,physical,SQSTM1,Q13501,BIOGRID
PLA2G10,O15496,physical,TUBA4A,P68366,BIOGRID
FASLG,P48023,physical,LYN,A8K379,BIOGRID
RBBP4,Q09028,physical,NR2C2,F2YGU2,BIOGRID
SORT1,Q99523,physical,XIAP,B2R9R2,BIOGRID
AUP1,Q9Y679,physical,ITGAV,P06756,BIOGRID
IVNS1ABP,Q9Y6Y0,physical,STAT3,P40763,BIOGRID
SIRT7,Q9NRC8,physical,RBBP4,Q09028,BIOGRID
SQSTM1,Q13501,physical,DIP2B,Q7Z3H2,BIOGRID
HJURP,Q8NCD3,physical,RBBP4,Q09028,BIOGRID
LMNA,P02545,physical,EMD,P50402,BIOGRID
UBC,P0CG48,physical,SKP1,P63208,BIOGRID
SP3,B7ZLN9,physical,RBBP4,Q09028,BIOGRID
CCNG2,A0A024RDC7,physical,SKP1,P63208,BIOGRID
SVIL,O95425,physical,LMNA,P02545,BIOGRID
SORT1,Q99523,physical,KRT75,O95678,BIOGRID
PCGF1,Q9BSM1,physical,SKP1,P63208,BIOGRID
NDUFA13,Q9P0J0,physical,UBE3A,Q05086,BIOGRID
PRG2,P13727,physical,TUBA4A,P68366,BIOGRID
ZFPM2,Q8WW38,physical,RBBP4,Q09028,BIOGRID
NEDD8,Q15843,physical,SKP1,P63208,BIOGRID
SPI1,P17947,physical,RARA,A8K840,BIOGRID
PEPD,A0A140VJR2,physical,BCCIP,Q9P287,BIOGRID
CCNF,P41002,physical,SKP1,P63208,BIOGRID
FASLG,P48023,physical,PPIAP11,,BIOGRID
IL20RA,Q9UHF4,physical,STAT3,P40763,BIOGRID
GABARAPL1,A0A024RAP5,physical,SQSTM1,Q13501,BIOGRID
IFIT3,O14879,physical,SNRPE,P62304,BIOGRID
RBL2,Q08999,physical,SKP1,P63208,BIOGRID
Lgals3bp,Q07797,physical,SKP1,P63208,BIOGRID
SORT1,Q99523,physical,LEMD2,A0A024RCZ1,BIOGRID
SQSTM1,Q13501,physical,RELN,P78509,BIOGRID
TMEM25,A0A024R3G8,physical,TUBA4A,P68366,BIOGRID
FHOD3,Q2V2M9,physical,SQSTM1,Q13501,BIOGRID
HSP90B1,P14625,physical,CALR,P27797,BIOGRID
XPO1,B3KWD0,physical,ENAH,Q8N8S7,BIOGRID
FBXO6,Q9NRD1,physical,SKP1,P63208,BIOGRID
BRCA2,P51587,physical,MCPH1,Q8NEM0,BIOGRID
SQSTM1,Q13501,physical,CUL2,A0A0A0MTN0,BIOGRID
ITGAV,P06756,physical,NCOR1,A0A024RD47,BIOGRID
NTRK1,P04629,physical,RBBP4,Q09028,BIOGRID
LMNA,P02545,physical,TRIM28,Q13263,BIOGRID
FBXW4,P57775,physical,SKP1,P63208,BIOGRID
UCHL5,Q9Y5K5,physical,TUBA4A,P68366,BIOGRID
STAT1,P42224,physical,STAT2,P52630,BIOGRID
FUS,P35637,physical,LMNA,P02545,BIOGRID
BRCA2,P51587,physical,FLNA,P21333,BIOGRID
PIAS1,O75925,physical,STAT1,P42224,BIOGRID
IL6R,A0A087WTB5,physical,STAT3,P40763,BIOGRID
THBS3,F5H4Z8,physical,TUBA4A,P68366,BIOGRID
CDC73,Q6P1J9,physical,CALR,P27797,BIOGRID
HNRNPM,P52272,physical,LMNA,P02545,BIOGRID
USP13,A0A0A6YZ17,physical,STAT1,P42224,BIOGRID
HUWE1,A0A024R9W5,physical,CALR,P27797,BIOGRID
BRCA1,A0A024R1V0,physical,STAT1,P42224,BIOGRID
MAP3K8,P41279,physical,MAP2K1,A4QPA9,BIOGRID
MAP3K7,O43318,physical,MAP2K4,P45985,BIOGRID
PPP1R8,Q12972,physical,RBBP4,Q09028,BIOGRID
E2F1,Q01094,physical,RBBP4,Q09028,BIOGRID
nef,P04601,physical,SQSTM1,Q13501,BIOGRID
LMNA,P02545,physical,CD2AP,Q9Y5K6,BIOGRID
AURKC,Q9UQB9,physical,FKBP5,Q13451,BIOGRID
TTC5,Q86T04,physical,TUBA4A,P68366,BIOGRID
MAP2K4,P45985,physical,MAP3K4,J3KNB8,BIOGRID
TMOD3,Q9NYL9,physical,ENAH,Q8N8S7,BIOGRID
SQSTM1,Q13501,physical,RRAGB,Q5VZM2,BIOGRID
EPHA2,A0A024QZA8,physical,NDUFA13,Q9P0J0,BIOGRID
MAP3K8,P41279,physical,MAP2K4,P45985,BIOGRID
STAT3,P40763,physical,SP1,P08047,BIOGRID
LMNA,P02545,physical,HCFC1,A6NEM2,BIOGRID
CDK2,A0A024RB10,physical,SORT1,Q99523,BIOGRID
Cenpe,E9QKK1,physical,LMNA,P02545,BIOGRID
SPI1,P17947,physical,DNMT3A,A0A0C4DG02,BIOGRID
XPO1,B3KWD0,physical,TUBA4A,P68366,BIOGRID
NFKB1,A0A024RDJ4,physical,MAP3K8,P41279,BIOGRID
L1CAM,P32004,physical,ITGAV,P06756,BIOGRID
GGA1,Q9UJY5,physical,GGA2,Q9UJY4,BIOGRID
SORT1,Q99523,physical,GGA2,Q9UJY4,BIOGRID
SQSTM1,Q13501,physical,MAPK14,A0A024RD15,BIOGRID
RALGDS,Q12967,physical,RAP2A,P10114,BIOGRID
CDH1,A0A0U2ZQU7,physical,ANXA4,P09525,BIOGRID
HIST1H3A,P68431,physical,RBBP4,Q09028,BIOGRID
ITGAV,P06756,physical,ITGA4,P13612,BIOGRID
STAT3,P40763,physical,NFKB2,Q00653,BIOGRID
NDUFA13,Q9P0J0,physical,ACAD9,Q9H845,BIOGRID
EIF2AK2,P19525,physical,GLTSCR2,Q9NZM5,BIOGRID
SQSTM1,Q13501,physical,SERPINA1,E9KL23,BIOGRID
STAT3,P40763,physical,CA8,P35219,BIOGRID
BMX,P51813,physical,STAT3,P40763,BIOGRID
NYX,Q9GZU5,physical,TUBA4A,P68366,BIOGRID
MAST3,O60307,physical,LMNA,P02545,BIOGRID
CDC20,Q12834,physical,TUBA4A,P68366,BIOGRID
FBXW5,A0A024R8H7,physical,SKP1,P63208,BIOGRID
HIST3H3,Q16695,physical,RBBP4,Q09028,BIOGRID
AURKC,Q9UQB9,physical,MYH1,P12882,BIOGRID
