SYMBOL_A,UNIPROT_AC_A,INTERACTION_TYPE,SYMBOL_B,UNIPROT_AC_B,SOURCE
LYPD4,A8K8E0,physical,TUBA4A,P68366,BIOGRID
SNW1,G3V3A4,physical,TUBA4A,P68366,BIOGRID
NTRK1,P04629,physical,STAT1,P42224,BIOGRID
NXF1,Q59E96,physical,STAT3,P40763,BIOGRID
EXOSC6,Q5RKV6,physical,NDUFA13,Q9P0J0,BIOGRID
EED,E9PJK2,physical,LMNA,P02545,BIOGRID
CALU,A0A024R755,physical,CALR,P27797,BIOGRID
SERPINH1,A0A024R5K8,physical,BRCA2,P51587,BIOGRID
SQSTM1,Q13501,physical,NOTCH1,P46531,BIOGRID
STAT3,P40763,physical,ZFPM2,Q8WW38,BIOGRID
STAT1,P42224,physical,HSPA4L,A0A140VKE7,BIOGRID
FASLG,P48023,physical,PIK3R1,P27986,BIOGRID
RBBP4,Q09028,physical,VCP,P55072,BIOGRID
LMNA,P02545,physical,HP1BP3,Q5SSJ5,BIOGRID
SOX2,A0A0U3FYV6,physical,CALR,P27797,BIOGRID
NTRK1,P04629,physical,LMNA,P02545,BIOGRID
IGSF8,Q969P0,physical,RBBP4,Q09028,BIOGRID
ARRB2,K7ENA6,physical,STAT1,P42224,BIOGRID
RBM23,A0A0S2Z5D9,physical,TUBA4A,P68366,BIOGRID
BCCIP,Q9P287,physical,PTN,A0A024R778,BIOGRID
YBX1,P67809,physical,TUBA4A,P68366,BIOGRID
FGB,P02675,physical,CALR,P27797,BIOGRID
C4orf17,Q53FE4,physical,TUBA4A,P68366,BIOGRID
PAN2,Q504Q3,physical,RBBP4,Q09028,BIOGRID
ICT1,Q14197,physical,NDUFA13,Q9P0J0,BIOGRID
BRCA2,P51587,genetic,CDK9,A0A024R880,BIOGRID
UBXN1,A0A024R539,physical,SQSTM1,Q13501,BIOGRID
SLBP,B3KSC5,physical,SKP1,P63208,BIOGRID
IFIT3,O14879,physical,RBMX,P38159,BIOGRID
CALR,P27797,physical,ITGA3,A0A140VJM0,BIOGRID
FASLG,P48023,physical,SH3PXD2A,B3KPL1,BIOGRID
TMCO3,A0A024RE09,physical,TUBA4A,P68366,BIOGRID
APP,A0A0A0MRG2,physical,IFIT3,O14879,BIOGRID
NDUFS5,O43920,physical,NDUFA13,Q9P0J0,BIOGRID
PDGFRB,P09619,physical,STAT3,P40763,BIOGRID
STAT1,P42224,physical,STAT5A,A8K6I5,BIOGRID
SORT1,Q99523,physical,USP32,Q8NFA0,BIOGRID
NDUFA13,Q9P0J0,physical,YME1L1,Q96TA2,BIOGRID
NEDD4,P46934,physical,RAP2A,P10114,BIOGRID
RCN1,Q15293,physical,CALR,P27797,BIOGRID
ISG15,P05161,physical,IFIT3,O14879,BIOGRID
IL2RB,P14784,physical,STAT1,P42224,BIOGRID
SQSTM1,Q13501,physical,AKT1S1,A0A024QZF6,BIOGRID
SLC30A4,O14863,physical,RAP2A,P10114,BIOGRID
RPA3,A4D105,physical,CALR,P27797,BIOGRID
CDYL,Q9Y232,physical,RBBP4,Q09028,BIOGRID
SORT1,Q99523,physical,MRM1,Q6IN84,BIOGRID
PLAUR,M0R1I2,physical,TUBA4A,P68366,BIOGRID
HNF1A,E0YMI7,physical,STAT3,P40763,BIOGRID
MCM2,P49736,physical,LMNA,P02545,BIOGRID
NOP9,Q86U38,physical,BCCIP,Q9P287,BIOGRID
SF3B3,A8K6V3,physical,SKP1,P63208,BIOGRID
PML,P29590,physical,SQSTM1,Q13501,BIOGRID
CYLD,A0A024R6T1,physical,SQSTM1,Q13501,BIOGRID
FASLG,P48023,physical,CACNB3,P54284,BIOGRID
TCTN1,A8MW34,physical,CALR,P27797,BIOGRID
PPP1CC,A0A024RBP2,physical,LMNA,P02545,BIOGRID
CC2D2A,Q9P2K1,physical,LMNA,P02545,BIOGRID
LMNA,P02545,physical,TOP2A,P11388,BIOGRID
SORT1,Q99523,physical,UACA,Q9BZF9,BIOGRID
IFIT3,O14879,physical,AQPEP,Q0P5U8,BIOGRID
VCP,P55072,physical,BCCIP,Q9P287,BIOGRID
SORT1,Q99523,physical,HP,A0A0C4DGL8,BIOGRID
LMNA,P02545,physical,CDKAL1,Q5VV42,BIOGRID
SORT1,Q99523,physical,ZNF768,A0A024QZC8,BIOGRID
AR,A0A087WUX9,physical,CALR,P27797,BIOGRID
SNX1,Q13596,physical,STAT1,P42224,BIOGRID
CARD8,A0A024QZD3,physical,BRCA2,P51587,BIOGRID
NFATC2,B5B2P4,physical,RBBP4,Q09028,BIOGRID
HIST1H2BJ,A0A024RCJ2,physical,STAT1,P42224,BIOGRID
PSMD3,O43242,physical,BRCA2,P51587,BIOGRID
SORT1,Q99523,physical,PALMD,A0A0S2Z5E7,BIOGRID
STAT3,P40763,physical,FYN,P06241,BIOGRID
SORT1,Q99523,physical,DIS3,G3V1J5,BIOGRID
IFIT3,O14879,physical,YBX3,A0A024RAQ1,BIOGRID
PSEN2,P49810,physical,IFIT3,O14879,BIOGRID
LIPH,A2IBA6,physical,TUBA4A,P68366,BIOGRID
YAF2,B4DJQ9,physical,SKP1,P63208,BIOGRID
LGALS7,P47929,physical,TUBA4A,P68366,BIOGRID
USP7,B7Z855,physical,LMNA,P02545,BIOGRID
FBXO32,A0A024R9F3,physical,SKP1,P63208,BIOGRID
TUBA4A,P68366,physical,DLGAP5,Q15398,BIOGRID
NOMO1,Q15155,physical,STAT1,P42224,BIOGRID
VCP,P55072,physical,CALR,P27797,BIOGRID
TUBA4A,P68366,physical,TKT,A0A0B4J1R6,BIOGRID
SLC25A10,A0A0S2Z382,physical,NDUFA13,Q9P0J0,BIOGRID
PGFRA,P16234,physical,STAT3,P40763,BIOGRID
LMNA,P02545,physical,LRRC59,Q96AG4,BIOGRID
PIK3R2,O00459,physical,SQSTM1,Q13501,BIOGRID
C6orf141,A0A024RD72,physical,TUBA4A,P68366,BIOGRID
TAZ,A0A0S2Z4E6,physical,ITGAV,P06756,BIOGRID
HDAC5,Q9UQL6,physical,RBBP4,Q09028,BIOGRID
IFIT3,O14879,physical,HNRNPA1,A0A024RAZ7,BIOGRID
PLA2G2A,A0A024RA96,physical,ITGAV,P06756,BIOGRID
FASLG,P48023,physical,ITK,Q08881,BIOGRID
MIER2,Q8N344,physical,TUBA4A,P68366,BIOGRID
SORT1,Q99523,physical,GPBP1,D4PHA4,BIOGRID
MEF2D,Q14814,physical,SENP3,Q9H4L4,BIOGRID
SPI1,P17947,physical,HOXA10,P31260,BIOGRID
BCCIP,Q9P287,physical,EIF5A,P63241,BIOGRID
BMI1,P35226,physical,LMNA,P02545,BIOGRID
SORT1,Q99523,physical,TEC,P42680,BIOGRID
MORF4L2,Q15014,physical,BRCA2,P51587,BIOGRID
SORT1,Q99523,physical,TLN1,Q9Y490,BIOGRID
CALR,P27797,physical,GANAB,B4DIW2,BIOGRID
PFDN2,B1AQP2,physical,KATNB1,Q9BVA0,BIOGRID
SORT1,Q99523,physical,RAB13,A0A087WWB9,BIOGRID
MAPK8,A1L4K2,physical,FASLG,P48023,BIOGRID
IFIT3,O14879,physical,HNRNPAB,Q99729,BIOGRID
CNKSR1,B4DL25,physical,BRCA2,P51587,BIOGRID
STAT1,P42224,physical,MLST8,Q9BVC4,BIOGRID
COPS3,B4DN01,physical,SKP1,P63208,BIOGRID
SPI1,P17947,physical,GATA3,P23771,BIOGRID
SLC25A5,P05141,physical,LMNA,P02545,BIOGRID
SRPK1,Q96SB4,physical,AURKC,Q9UQB9,BIOGRID
GATA2,P23769,physical,SKP1,P63208,BIOGRID
TRAF6,Q9Y4K3,physical,IFIT3,O14879,BIOGRID
Mgp,P19788,physical,SQSTM1,Q13501,BIOGRID
AURKC,Q9UQB9,physical,TACC2,B2RWP4,BIOGRID
HSPB2,A8KAH6,physical,NDUFA13,Q9P0J0,BIOGRID
L3MBTL1,Q9Y468,physical,BRCA2,P51587,BIOGRID
TRIM23,P36406,physical,GGA2,Q9UJY4,BIOGRID
SQSTM1,Q13501,physical,GLG1,Q92896,BIOGRID
CD40,A0A0S2Z349,physical,MAP3K8,P41279,BIOGRID
STAT1,P42224,physical,SPTBN1,B2ZZ89,BIOGRID
HTT,P42858,physical,GGA2,Q9UJY4,BIOGRID
RAP2A,P10114,physical,DDX39A,O00148,BIOGRID
GGA2,Q9UJY4,physical,NECAP2,A0A024QZ81,BIOGRID
SKP1,P63208,physical,TLN2,Q9Y4G6,BIOGRID
VHL,A0A024R2F2,physical,RBBP4,Q09028,BIOGRID
SRRM2,A0A140VK53,physical,RBBP4,Q09028,BIOGRID
LNX1,Q8TBB1,physical,AURKC,Q9UQB9,BIOGRID
SSX2IP,B7ZB07,physical,KATNB1,Q9BVA0,BIOGRID
LMNA,P02545,physical,RPA1,P27694,BIOGRID
STAT3,P40763,physical,CBL,P22681,BIOGRID
H2AFX,P16104,physical,LMNA,P02545,BIOGRID
GMPPB,Q9Y5P6,physical,LMNA,P02545,BIOGRID
BRCA2,P51587,physical,CDC45,O75419,BIOGRID
SORT1,Q99523,physical,PRCC,A0A0S2Z456,BIOGRID
VCAM1,P19320,physical,TUBA4A,P68366,BIOGRID
MAGED2,A0A024R9Y7,physical,TUBA4A,P68366,BIOGRID
SHMT2,A0A024RB99,physical,MEF2D,Q14814,BIOGRID
P2RY14,A5JUU3,physical,RAP2A,P10114,BIOGRID
INSL5,Q9Y5Q6,physical,SQSTM1,Q13501,BIOGRID
IFIT3,O14879,physical,TMEM183A,Q8IXX5,BIOGRID
RAP2A,P10114,physical,TM7SF2,A0A024R577,BIOGRID
IFIT3,O14879,physical,PABPC1,A0A024R9C1,BIOGRID
FASLG,P48023,physical,SORBS3,O60504,BIOGRID
FN1,B7ZLE5,physical,LMNA,P02545,BIOGRID
CALR,P27797,physical,NSUN2,Q08J23,BIOGRID
BCCIP,Q9P287,physical,CDK2,A0A024RB10,BIOGRID
STAT3,P40763,physical,PTPN11,Q06124,BIOGRID
PTPRN2,E7EM83,physical,SORT1,Q99523,BIOGRID
SORCS1,A8K182,physical,SORT1,Q99523,BIOGRID
SORT1,Q99523,physical,FNDC3A,A0A024RDT9,BIOGRID
Ripk3,E9PZP3,physical,SQSTM1,Q13501,BIOGRID
Cdk4,P30285,physical,MEF2D,Q14814,BIOGRID
CUL4A,A0A0A0MR50,physical,RBBP4,Q09028,BIOGRID
FASLG,P48023,physical,KALRN,C9IZQ6,BIOGRID
RAP2A,P10114,physical,CCT6A,A0A024RDL1,BIOGRID
HDAC3,O15379,physical,SPI1,P17947,BIOGRID
SORT1,Q99523,physical,MYH6,P13533,BIOGRID
ELAVL1,Q15717,physical,SKP1,P63208,BIOGRID
STAT1,P42224,physical,TBCD,Q9BTW9,BIOGRID
PSG1,G5E9F7,physical,TUBA4A,P68366,BIOGRID
PVR,A0A0A0MSA9,physical,STAT3,P40763,BIOGRID
SORT1,Q99523,physical,NHS,Q6T4R5,BIOGRID
MLH1,A0A024R2S9,physical,SQSTM1,Q13501,BIOGRID
AGTR1,A0A0A0MSE3,physical,BDKRB2,P30411,BIOGRID
ZW10,O43264,physical,LMNA,P02545,BIOGRID
CAPNS1,A0A0C4DGQ5,physical,STAT3,P40763,BIOGRID
MAP2K4,P45985,physical,RBBP8,A0A024RC34,BIOGRID
LMNA,P02545,physical,CRK,A0A0S2Z3K9,BIOGRID
STAT3,P40763,physical,MAPK1,P28482,BIOGRID
RECQL5,A0A024R8M9,genetic,BRCA2,P51587,BIOGRID
STAT3,P40763,physical,PAQR7,Q86WK9,BIOGRID
SQSTM1,Q13501,physical,ASPH,A0A0A0MSK8,BIOGRID
LMNA,P02545,physical,PARP1,A0A024R3T8,BIOGRID
NDUFA13,Q9P0J0,physical,UQCRFS1,P47985,BIOGRID
LMNA,P02545,physical,RBM10,A0A0A0MR66,BIOGRID
KATNB1,Q9BVA0,physical,MSH3,P20585,BIOGRID
APPL1,Q9UKG1,physical,RBBP4,Q09028,BIOGRID
BMH1,P29311,physical,STAT3,P40763,BIOGRID
PSMD10,O75832,physical,LMNA,P02545,BIOGRID
POLR3E,A0A0C4DH01,physical,TUBA4A,P68366,BIOGRID
LNPEP,Q9UIQ6,physical,NDUFA13,Q9P0J0,BIOGRID
STAT3,P40763,physical,HESX1,A0A024R364,BIOGRID
C9orf3,Q8N6M6,physical,TUBA4A,P68366,BIOGRID
AURKC,Q9UQB9,physical,CENPA,P49450,BIOGRID
STAT3,P40763,physical,PLA2G4A,B4DZI4,BIOGRID
TYK2,A0A024R7E4,physical,STAT1,P42224,BIOGRID
RASSF1,Q9NS23,physical,SKP1,P63208,BIOGRID
LMNA,P02545,physical,NUP214,B7ZAV2,BIOGRID
EIF2AK2,P19525,physical,IL7R,P16871,BIOGRID
EGFR,B7Z2I3,physical,LMNA,P02545,BIOGRID
CDC5L,Q99459,physical,RBBP4,Q09028,BIOGRID
FASLG,P48023,physical,P3H4,Q92791,BIOGRID
SQSTM1,Q13501,physical,ABHD10,Q9NUJ1,BIOGRID
SORT1,Q99523,physical,UFSP2,B3KRI4,BIOGRID
PHF19,A0A087X169,physical,RBBP4,Q09028,BIOGRID
STAT3,P40763,physical,PIK3R1,P27986,BIOGRID
MAP2K6,A0A024R8K3,physical,MAP2K4,P45985,BIOGRID
PUS7,B3KRB2,physical,STAT3,P40763,BIOGRID
PIN1,Q13526,physical,GGA2,Q9UJY4,BIOGRID
VHL,A0A024R2F2,physical,TUBA4A,P68366,BIOGRID
ARAF,A0A024R178,physical,TUBA4A,P68366,BIOGRID
ANXA7,B2R657,physical,RBBP4,Q09028,BIOGRID
MCM2,P49736,physical,TUBA4A,P68366,BIOGRID
BCHE,D3DNN4,physical,ENAH,Q8N8S7,BIOGRID
IKBKE,A0A075B7B4,physical,IFIT3,O14879,BIOGRID
LGALS3,A0A024R693,physical,SQSTM1,Q13501,BIOGRID
FASLG,P48023,physical,NOTCH2NL,Q7Z3S9,BIOGRID
EIF2AK2,P19525,physical,HIST2H2AC,Q16777,BIOGRID
HNRNPC,P07910,physical,BRCA2,P51587,BIOGRID
PDIA3,P30101,physical,BCCIP,Q9P287,BIOGRID
LMNA,P02545,physical,KRTAP10-3,P60369,BIOGRID
STAT1,P42224,physical,APEH,A0A024R2U9,BIOGRID
LGR4,Q59ER8,physical,CALR,P27797,BIOGRID
STAT1,P42224,physical,SPTAN1,A0A0D9SF54,BIOGRID
CALR,P27797,physical,TPD52L2,A0A087WYR3,BIOGRID
M6PR,F5GX30,physical,GGA2,Q9UJY4,BIOGRID
SQSTM1,Q13501,physical,NOD2,Q9HC29,BIOGRID
HOXC11,O43248,physical,STAT3,P40763,BIOGRID
Lin54,B7ZN58,physical,RBBP4,Q09028,BIOGRID
SORT1,Q99523,physical,FAF2,Q96CS3,BIOGRID
NDUFA13,Q9P0J0,physical,NDUFB3,A0A024R413,BIOGRID
SORT1,Q99523,physical,USP1,O94782,BIOGRID
ACAP2,Q15057,,ARF5,P84085,STRING
ACAP2,Q15057,,VAMP3,Q15836,STRING
ACAP2,Q15057,,RAB35,Q15286,STRING
ACAP2,Q15057,,ZAP70,P43403,STRING
ACAP2,Q15057,,ARF1,P84077,STRING
ACAP2,Q15057,,SNRK,Q9NRH2,STRING
ACAP2,Q15057,,ARF6,P62330,STRING
ACAP2,Q15057,,LRRK2,Q5S007,STRING
ACAP2,Q15057,,ARFGAP1,Q8N6T3,STRING
RFTN1,Q14699,,ACAP2,Q15057,STRING
MBTPS1,Q14703,,ACAP2,Q15057,STRING
SYNJ2,O15056,,ACAP2,Q15057,STRING
ASAP1,Q9ULH1,,ACAP2,Q15057,STRING
STXBP3,,,ACAP2,Q15057,STRING
SMAP2,Q8WU79,,ACAP2,Q15057,STRING
SYK,Q15046,,ACAP2,Q15057,STRING
CDKN2A,P42771,,ACAP2,Q15057,STRING
SYNJ1,O43426,,ACAP2,Q15057,STRING
EMC1,Q8N766,,ACAP2,Q15057,STRING
ADAP1,O75689,,RANBP9,,STRING
ADAP1,O75689,,RASD2,Q96D21,STRING
ADAP1,O75689,,RASD1,Q9Y272,STRING
ADAP1,O75689,,KIF13A,Q9H1H9,STRING
ADAP1,O75689,,AP3B2,Q13367,STRING
ADAP1,O75689,,LMF1,Q96S06,STRING
ADAP1,O75689,,PIK3CA,P42336,STRING
COPS3,Q9UNS2,,ADAP1,O75689,STRING
ARF1,P84077,,ADAP1,O75689,STRING
ARF6,P62330,,ADAP1,O75689,STRING
NCL,P19338,,ADAP1,O75689,STRING
SYNJ2,O15056,,ADAP1,O75689,STRING
SF3A3,Q12874,,ADAP1,O75689,STRING
CDKN2A,P42771,,ADAP1,O75689,STRING
SYNJ1,O43426,,ADAP1,O75689,STRING
CSNK1A1,P48729,,ADAP1,O75689,STRING
KIF13B,Q9NQT8,,ADAP1,O75689,STRING
CLTC,Q00610,,M6PR,,STRING
CLTC,Q00610,,CFTR,P13569,STRING
CLTC,Q00610,,DVL2,O14641,STRING
CLTC,Q00610,,CD4,P01730,STRING
CLTC,Q00610,,VAMP3,Q15836,STRING
CLTC,Q00610,,WASL,O00401,STRING
CLTC,Q00610,,HSPA8,P11142,STRING
CLTC,Q00610,,ARPC3,O15145,STRING
CLTC,Q00610,,APOB,P04114,STRING
CLTC,Q00610,,VAMP4,O75379,STRING
CLTC,Q00610,,CLTA,P09496,STRING
CLTC,Q00610,,PACSIN1,Q9BY11,STRING
CLTC,Q00610,,EPS15L1,Q9UBC2,STRING
CLTC,Q00610,,FCHO1,O14526,STRING
CLTC,Q00610,,HIP1R,O75146,STRING
CLTC,Q00610,,ARF3,P61204,STRING
CLTC,Q00610,,REPS1,Q96D71,STRING
CLTC,Q00610,,SYT1,P21579,STRING
CLTC,Q00610,,RAB11A,P62491,STRING
CLTC,Q00610,,VAMP7,P51809,STRING
CLTC,Q00610,,ARPC1A,Q92747,STRING
CLTC,Q00610,,ACTR3,P61158,STRING
CLTC,Q00610,,PACSIN2,Q9UNF0,STRING
CLTC,Q00610,,AP2S1,P53680,STRING
CLTC,Q00610,,LRP2,P98164,STRING
CLTC,Q00610,,VAMP8,Q9BV40,STRING
CLTC,Q00610,,CBL,P22681,STRING
CLTC,Q00610,,WNT5A,P41221,STRING
CLTC,Q00610,,RAB10,P61026,STRING
CLTC,Q00610,,SCARB2,Q14108,STRING
CLTC,Q00610,,RAB7A,P51149,STRING
CLTC,Q00610,,EGF,P01133,STRING
CLTC,Q00610,,PIK3C2A,O00443,STRING
CLTC,Q00610,,STON2,Q8WXE9,STRING
ARRB2,P32121,,CLTC,Q00610,STRING
SH3GL1,Q99961,,CLTC,Q00610,STRING
FNBP1L,Q5T0N5,,CLTC,Q00610,STRING
ARF1,P84077,,CLTC,Q00610,STRING
RPS27A,P62979,,CLTC,Q00610,STRING
RAB5A,P20339,,CLTC,Q00610,STRING
AGTR1,P30556,,CLTC,Q00610,STRING
EGFR,P00533,,CLTC,Q00610,STRING
AP2M1,Q96CW1,,CLTC,Q00610,STRING
ARL5A,Q9Y689,,CLTC,Q00610,STRING
ARPC2,O15144,,CLTC,Q00610,STRING
PACSIN3,Q9UKS6,,CLTC,Q00610,STRING
CD3D,P04234,,CLTC,Q00610,STRING
TACR1,P25103,,CLTC,Q00610,STRING
UBB,P0CG47,,CLTC,Q00610,STRING
ADRB2,P07550,,CLTC,Q00610,STRING
CLTB,P09497,,CLTC,Q00610,STRING
STON1,Q9Y6Q2,,CLTC,Q00610,STRING
DAB2,P98082,,CLTC,Q00610,STRING
VAMP2,P63027,,CLTC,Q00610,STRING
AP2B1,P63010,,CLTC,Q00610,STRING
GAK,O14976,,CLTC,Q00610,STRING
BIN1,O00499,,CLTC,Q00610,STRING
SNX18,Q96RF0,,CLTC,Q00610,STRING
CHRM2,P08172,,CLTC,Q00610,STRING
TRIP10,Q15642,,CLTC,Q00610,STRING
EPN2,O95208,,CLTC,Q00610,STRING
SLC2A4,P14672,,CLTC,Q00610,STRING
SYT9,Q86SS6,,CLTC,Q00610,STRING
HIP1,O00291,,CLTC,Q00610,STRING
RAB27A,P51159,,TBC1D1,Q86TI0,STRING
RAB27A,P51159,,VAMP7,P51809,STRING
RAB27A,P51159,,RABGGTB,P53611,STRING
AVPR2,P30518,,CLTC,Q00610,STRING
NECAP1,Q8NC96,,CLTC,Q00610,STRING
UBC,P0CG48,,CLTC,Q00610,STRING
UBQLN2,Q9UHD9,,CLTC,Q00610,STRING
RAB5C,P51148,,CLTC,Q00610,STRING
ITSN2,Q9NZM3,,CLTC,Q00610,STRING
SYNJ2,O15056,,CLTC,Q00610,STRING
DNM2,P50570,,CLTC,Q00610,STRING
AMPH,P49418,,CLTC,Q00610,STRING
ARL4A,P40617,,CLTC,Q00610,STRING
IGF2R,P11717,,CLTC,Q00610,STRING
REPS2,Q8NFH8,,CLTC,Q00610,STRING
CHM,P24386,,RAB27A,P51159,STRING
DNM3,Q9UQ16,,CLTC,Q00610,STRING
AP2A1,O95782,,CLTC,Q00610,STRING
ARPC5,O15511,,CLTC,Q00610,STRING
TFRC,P02786,,CLTC,Q00610,STRING
RAB5B,P61020,,CLTC,Q00610,STRING
CHML,P26374,,RAB27A,P51159,STRING
SYT2,Q8N9I0,,CLTC,Q00610,STRING
SYT11,Q9BT88,,CLTC,Q00610,STRING
SNAP91,O60641,,CLTC,Q00610,STRING
SGIP1,Q9BQI5,,CLTC,Q00610,STRING
OCRL,Q01968,,CLTC,Q00610,STRING
EPS15,P42566,,CLTC,Q00610,STRING
DNM1,Q05193,,CLTC,Q00610,STRING
SLC2A8,Q9NY64,,CLTC,Q00610,STRING
SLC18A3,Q16572,,CLTC,Q00610,STRING
LDLRAP1,Q5SW96,,CLTC,Q00610,STRING
CTTN,Q14247,,CLTC,Q00610,STRING
ACTR2,P61160,,CLTC,Q00610,STRING
KIAA0319,Q5VV43,,CLTC,Q00610,STRING
AVP,P01185,,CLTC,Q00610,STRING
SH3GL2,Q99962,,CLTC,Q00610,STRING
ITSN1,Q15811,,CLTC,Q00610,STRING
SYT8,Q8NBV8,,CLTC,Q00610,STRING
SNX9,Q9Y5X1,,CLTC,Q00610,STRING
PICALM,Q13492,,CLTC,Q00610,STRING
GAPVD1,Q14C86,,CLTC,Q00610,STRING
DNAJC6,O75061,,CLTC,Q00610,STRING
XPO1,O14980,,CLTC,Q00610,STRING
TF,P13726,,CLTC,Q00610,STRING
TGOLN2,O43493,,CLTC,Q00610,STRING
AAK1,Q2M2I8,,CLTC,Q00610,STRING
AGFG1,P52594,,M6PR,,STRING
AGFG1,P52594,,CFTR,P13569,STRING
AGFG1,P52594,,DVL2,O14641,STRING
AGFG1,P52594,,CD4,P01730,STRING
AGFG1,P52594,,VAMP3,Q15836,STRING
AGFG1,P52594,,RAB26,Q9ULW5,STRING
AGFG1,P52594,,WASL,O00401,STRING
AGFG1,P52594,,YKT6,O15498,STRING
AGFG1,P52594,,LAP3,P28838,STRING
AGFG1,P52594,,HSPA8,P11142,STRING
AGFG1,P52594,,ARPC3,O15145,STRING
AGFG1,P52594,,APOB,P04114,STRING
AGFG1,P52594,,VAMP4,O75379,STRING
AGFG1,P52594,,CLTA,P09496,STRING
AGFG1,P52594,,RAB9B,Q9NP90,STRING
AGFG1,P52594,,PACSIN1,Q9BY11,STRING
AGFG1,P52594,,EPS15L1,Q9UBC2,STRING
AGFG1,P52594,,USP6,P35125,STRING
AGFG1,P52594,,NCAPG,Q9BPX3,STRING
AGFG1,P52594,,FCHO1,O14526,STRING
AGFG1,P52594,,NUMBL,Q9Y6R0,STRING
AGFG1,P52594,,HIP1R,O75146,STRING
AGFG1,P52594,,ARF3,P61204,STRING
AGFG1,P52594,,RAB33A,Q14088,STRING
AGFG1,P52594,,REPS1,Q96D71,STRING
AGFG1,P52594,,SYT1,P21579,STRING
AGFG1,P52594,,RAB21,Q9UL25,STRING
AGFG1,P52594,,TBC1D1,Q86TI0,STRING
AGFG1,P52594,,RAB11A,P62491,STRING
AGFG1,P52594,,RAB11FIP3,O75154,STRING
AGFG1,P52594,,VAMP7,P51809,STRING
AGFG1,P52594,,RAB2A,P61019,STRING
AGFG1,P52594,,ARPC1A,Q92747,STRING
AGFG1,P52594,,ACTR3,P61158,STRING
AGFG1,P52594,,PACSIN2,Q9UNF0,STRING
AGFG1,P52594,,AP2S1,P53680,STRING
AGFG1,P52594,,LRP2,P98164,STRING
AGFG1,P52594,,VAMP8,Q9BV40,STRING
AGFG1,P52594,,CBL,P22681,STRING
AGFG1,P52594,,RAB17,Q9H0T7,STRING
AGFG1,P52594,,WNT5A,P41221,STRING
AGFG1,P52594,,RAB10,P61026,STRING
AGFG1,P52594,,SCARB2,Q14108,STRING
AGFG1,P52594,,RAB7A,P51149,STRING
AGFG1,P52594,,EGF,P01133,STRING
AGFG1,P52594,,PIK3C2A,O00443,STRING
AGFG1,P52594,,STON2,Q8WXE9,STRING
AGFG1,P52594,,CLTC,Q00610,STRING
AGFG1,P52594,,ARRB2,P32121,STRING
AGFG1,P52594,,SH3GL1,Q99961,STRING
AGFG1,P52594,,FNBP1L,Q5T0N5,STRING
AGFG1,P52594,,ARF1,P84077,STRING
AGFG1,P52594,,RPS27A,P62979,STRING
AGFG1,P52594,,RAB5A,P20339,STRING
AGFG1,P52594,,AGTR1,P30556,STRING
AGFG1,P52594,,EGFR,P00533,STRING
AGFG1,P52594,,AP2M1,Q96CW1,STRING
AGFG1,P52594,,STX5,Q13190,STRING
AGFG1,P52594,,ARL5A,Q9Y689,STRING
AGFG1,P52594,,ARPC2,O15144,STRING
AGFG1,P52594,,PACSIN3,Q9UKS6,STRING
AGFG1,P52594,,CD3D,P04234,STRING
AGFG1,P52594,,FNTA,P49354,STRING
AGFG1,P52594,,TACR1,P25103,STRING
AGFG1,P52594,,RAB31,Q13636,STRING
AGFG1,P52594,,UBB,P0CG47,STRING
AGFG1,P52594,,ADRB2,P07550,STRING
AGFG1,P52594,,RAB33B,Q9H082,STRING
AGFG1,P52594,,CLTB,P09497,STRING
AGFG1,P52594,,RAB1B,Q9H0U4,STRING
AGFG1,P52594,,STON1,Q9Y6Q2,STRING
AGFG1,P52594,,RAB6A,P20340,STRING
AGFG1,P52594,,RAB11FIP4,Q86YS3,STRING
AGFG1,P52594,,DAB2,P98082,STRING
AGFG1,P52594,,VAMP2,P63027,STRING
AGFG1,P52594,,AP2B1,P63010,STRING
AGFG1,P52594,,GAK,O14976,STRING
AGFG1,P52594,,BIN1,O00499,STRING
AGFG1,P52594,,SNX18,Q96RF0,STRING
AGFG1,P52594,,RABGGTB,P53611,STRING
AGFG1,P52594,,RAP2B,P61225,STRING
AGFG1,P52594,,CHRM2,P08172,STRING
AGFG1,P52594,,TRIP10,Q15642,STRING
AGFG1,P52594,,EPN2,O95208,STRING
AGFG1,P52594,,SLC2A4,P14672,STRING
AGFG1,P52594,,SYT9,Q86SS6,STRING
AGFG1,P52594,,HIP1,O00291,STRING
AGFG1,P52594,,AVPR2,P30518,STRING
AGFG1,P52594,,NECAP1,Q8NC96,STRING
AGFG1,P52594,,UBC,P0CG48,STRING
AGFG1,P52594,,UBQLN2,Q9UHD9,STRING
AGFG1,P52594,,RAB5C,P51148,STRING
AGFG1,P52594,,TBC1D3,Q8IZP1,STRING
AGFG1,P52594,,ITSN2,Q9NZM3,STRING
AGFG1,P52594,,SYNJ2,O15056,STRING
AGFG1,P52594,,DNM2,P50570,STRING
AGFG1,P52594,,AMPH,P49418,STRING
AGFG1,P52594,,ARL4A,P40617,STRING
AGFG1,P52594,,RAB18,Q9NP72,STRING
AGFG1,P52594,,IGF2R,P11717,STRING
AGFG1,P52594,,REPS2,Q8NFH8,STRING
AGFG1,P52594,,CHM,P24386,STRING
AGFG1,P52594,,DNM3,Q9UQ16,STRING
AGFG1,P52594,,PRDM10,Q9NQV6,STRING
